year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,fusion_ticket
2022,ALABAMA,AL,1,63,41,US HOUSE,1,GEN,JERRY L CARL,REPUBLICAN,FALSE,TOTAL,140592,168150,FALSE,20250910,FALSE
2022,ALABAMA,AL,1,63,41,US HOUSE,1,GEN,ALEXANDER M REMREY,LIBERTARIAN,FALSE,TOTAL,26369,168150,FALSE,20250910,FALSE
2022,ALABAMA,AL,1,63,41,US HOUSE,1,GEN,WRITEIN,NA,TRUE,TOTAL,1189,168150,FALSE,20250910,FALSE
2022,ALABAMA,AL,1,63,41,US HOUSE,2,GEN,BARRY MOORE,REPUBLICAN,FALSE,TOTAL,137460,198961,FALSE,20250910,FALSE
2022,ALABAMA,AL,1,63,41,US HOUSE,2,GEN,PHYLLIS HARVEY-HALL,DEMOCRAT,FALSE,TOTAL,58014,198961,FALSE,20250910,FALSE
2022,ALABAMA,AL,1,63,41,US HOUSE,2,GEN,JONATHAN REALZ,LIBERTARIAN,FALSE,TOTAL,3396,198961,FALSE,20250910,FALSE
2022,ALABAMA,AL,1,63,41,US HOUSE,2,GEN,WRITEIN,NA,TRUE,TOTAL,91,198961,FALSE,20250910,FALSE
2022,ALABAMA,AL,1,63,41,US HOUSE,3,GEN,MIKE ROGERS,REPUBLICAN,FALSE,TOTAL,135602,190406,FALSE,20250910,FALSE
2022,ALABAMA,AL,1,63,41,US HOUSE,3,GEN,LIN VEASEY,DEMOCRAT,FALSE,TOTAL,47859,190406,FALSE,20250910,FALSE
2022,ALABAMA,AL,1,63,41,US HOUSE,3,GEN,DOUGLAS A BELL,INDEPENDENT,FALSE,TOTAL,3831,190406,FALSE,20250910,FALSE
2022,ALABAMA,AL,1,63,41,US HOUSE,3,GEN,THOMAS SICKOFDC CASSON,LIBERTARIAN,FALSE,TOTAL,3034,190406,FALSE,20250910,FALSE
2022,ALABAMA,AL,1,63,41,US HOUSE,3,GEN,WRITEIN,NA,TRUE,TOTAL,80,190406,FALSE,20250910,FALSE
2022,ALABAMA,AL,1,63,41,US HOUSE,4,GEN,ROBERT B ADERHOLT,REPUBLICAN,FALSE,TOTAL,164655,195733,FALSE,20250910,FALSE
