State,CD #,Year,Reock,Rating,Polsby-Popper,Rating,KIWYSI Score
AK,AL,2022,0.00,0.00,0.06,0.00,1.00
AL,1,2022,0.41,65.00,0.20,24.00,39.00
AL,2,2022,0.48,93.00,0.25,37.00,50.00
AL,3,2022,0.42,68.00,0.26,39.00,48.00
AL,4,2022,0.32,30.00,0.19,23.00,27.00
AL,5,2022,0.25,0.00,0.30,49.00,55.00
AL,6,2022,0.36,42.00,0.15,14.00,29.00
AL,7,2022,0.47,90.00,0.19,24.00,35.00
AL,1,2024,0.19,0.00,0.15,12.00,17.00
AL,2,2024,0.20,0.00,0.14,10.00,18.00
AL,3,2024,0.47,86.00,0.36,66.00,64.00
AL,4,2024,0.32,27.00,0.20,25.00,26.00
AL,5,2024,0.32,27.00,0.37,68.00,76.00
AL,6,2024,0.46,84.00,0.20,25.00,39.00
AL,7,2024,0.47,88.00,0.21,27.00,40.00
AR,1,2022,0.36,43.00,0.12,4.00,24.00
AR,2,2022,0.42,69.00,0.26,41.00,50.00
AR,3,2022,0.46,85.00,0.44,84.00,73.00
AR,4,2022,0.52,100.00,0.26,40.00,54.00
AZ,1,2022,0.41,64.00,0.37,67.00,68.00
AZ,2,2022,0.60,100.00,0.30,50.00,65.00
AZ,3,2022,0.45,79.00,0.38,70.00,70.00
AZ,4,2022,0.21,0.00,0.20,26.00,28.00
AZ,5,2022,0.51,100.00,0.30,51.00,54.00
AZ,6,2022,0.38,51.00,0.23,32.00,38.00
AZ,7,2022,0.16,0.00,0.17,17.00,26.00
AZ,8,2022,0.50,100.00,0.32,54.00,57.00
AZ,9,2022,0.33,32.00,0.18,20.00,29.00
CA,1,2022,0.52,100.00,0.22,29.00,47.00
CA,2,2022,0.24,0.00,0.18,20.00,22.00
CA,3,2022,0.13,0.00,0.13,8.00,8.00
CA,4,2022,0.35,40.00,0.18,19.00,31.00
CA,5,2022,0.28,14.00,0.17,17.00,33.00
CA,6,2022,0.27,8.00,0.30,51.00,57.00
CA,7,2022,0.27,7.00,0.24,36.00,30.00
CA,8,2022,0.40,58.00,0.22,29.00,37.00
CA,9,2022,0.44,75.00,0.24,35.00,52.00
CA,10,2022,0.39,55.00,0.22,30.00,45.00
CA,11,2022,0.10,0.00,0.26,41.00,7.00
CA,12,2022,0.49,95.00,0.49,96.00,88.00
CA,13,2022,0.39,56.00,0.23,32.00,47.00
CA,14,2022,0.34,34.00,0.31,53.00,53.00
CA,15,2022,0.26,4.00,0.36,65.00,59.00
CA,16,2022,0.33,32.00,0.19,22.00,27.00
CA,17,2022,0.49,95.00,0.25,38.00,48.00
CA,18,2022,0.27,10.00,0.17,17.00,34.00
CA,19,2022,0.15,0.00,0.10,0.00,1.00
CA,20,2022,0.35,41.00,0.10,0.00,16.00
CA,21,2022,0.24,0.00,0.19,23.00,35.00
CA,22,2022,0.49,94.00,0.31,53.00,58.00
CA,23,2022,0.51,100.00,0.41,77.00,83.00
CA,24,2022,0.25,1.00,0.15,12.00,16.00
CA,25,2022,0.42,68.00,0.16,15.00,25.00
CA,26,2022,0.46,83.00,0.29,49.00,61.00
CA,27,2022,0.45,78.00,0.37,67.00,72.00
CA,28,2022,0.36,45.00,0.13,8.00,29.00
CA,29,2022,0.38,50.00,0.18,19.00,25.00
CA,30,2022,0.35,39.00,0.15,12.00,25.00
CA,31,2022,0.37,46.00,0.11,2.00,24.00
CA,32,2022,0.33,34.00,0.21,28.00,44.00
CA,33,2022,0.23,0.00,0.18,21.00,30.00
CA,34,2022,0.37,48.00,0.21,26.00,35.00
CA,35,2022,0.30,20.00,0.24,36.00,39.00
CA,36,2022,0.31,25.00,0.20,26.00,33.00
CA,37,2022,0.44,75.00,0.30,49.00,55.00
CA,38,2022,0.34,34.00,0.14,9.00,29.00
CA,39,2022,0.39,55.00,0.20,24.00,34.00
CA,40,2022,0.42,70.00,0.15,12.00,33.00
CA,41,2022,0.20,0.00,0.06,0.00,14.00
CA,42,2022,0.13,0.00,0.14,10.00,1.00
CA,43,2022,0.31,25.00,0.20,24.00,31.00
CA,44,2022,0.31,26.00,0.16,16.00,24.00
CA,45,2022,0.36,44.00,0.08,0.00,8.00
CA,46,2022,0.49,95.00,0.16,16.00,35.00
CA,47,2022,0.36,44.00,0.22,31.00,37.00
CA,48,2022,0.41,65.00,0.20,26.00,46.00
CA,49,2022,0.35,41.00,0.27,44.00,46.00
CA,50,2022,0.25,0.00,0.12,5.00,9.00
CA,51,2022,0.51,100.00,0.12,5.00,27.00
CA,52,2022,0.37,47.00,0.25,38.00,45.00
CA,1,2026,0.37,49.00,0.19,23.00,34.00
CA,2,2026,0.32,30.00,0.20,25.00,21.00
CA,3,2026,0.40,61.00,0.24,34.00,44.00
CA,4,2026,0.36,43.00,0.16,15.00,33.00
CA,5,2026,0.23,0.00,0.25,38.00,49.00
CA,6,2026,0.28,12.00,0.12,4.00,12.00
