Year,State,CD #,Total Congressional Votes,Congressional D Votes,Congressional R Votes
2022,AK,AL,263610,128553,129379
2022,AL,1,168150,0,140592
2022,AL,2,198961,58014,137460
2022,AL,3,190406,47859,135602
2022,AL,4,195733,26694,164655
2022,AL,5,212317,62740,142435
2022,AL,6,184203,0,154233
2022,AL,7,193940,123233,67416
2022,AR,1,208372,54598,153774
2022,AR,2,246446,86887,147975
2022,AR,3,223588,73541,142401
2022,AR,4,216696,56745,153850
2022,AZ,1,361477,179141,182336
2022,AZ,2,323396,149151,174169
2022,AZ,3,141074,108599,32475
2022,AZ,4,265498,148941,116521
2022,AZ,5,321590,120243,182464
2022,AZ,6,349283,171969,177201
2022,AZ,7,195862,126418,69444
2022,AZ,8,204713,0,197555
2022,AZ,9,197185,0,192796
2022,CA,1,246225,93386,152839
2022,CA,10,251380,198415,0
2022,CA,11,263065,220848,42217
2022,CA,12,239969,217110,22859
2022,CA,13,133556,66496,67060
2022,CA,14,198464,137612,60852
2022,CA,15,194874,194874,0
2022,CA,16,241007,241007,0
2022,CA,17,180253,127853,52400
2022,CA,18,151513,99776,51737
2022,CA,19,283310,194494,88816
2022,CA,2,308749,229720,79029
2022,CA,20,228781,74934,153847
2022,CA,21,125647,68074,57573
2022,CA,22,102856,49862,52994
2022,CA,23,169105,65908,103197
2022,CA,24,262552,159019,103533
2022,CA,25,152742,87641,65101
2022,CA,26,246789,134575,112214
2022,CA,27,196516,91892,104624
2022,CA,28,226557,150062,76495
2022,CA,29,119435,119435,0
2022,CA,3,338199,156761,181438
2022,CA,30,211068,211068,0
2022,CA,31,153625,91472,62153
2022,CA,32,242029,167411,74618
2022,CA,33,132707,76588,56119
2022,CA,34,121467,121467,0
2022,CA,35,130953,75121,55832
2022,CA,36,278563,194299,84264
2022,CA,37,131880,131880,0
2022,CA,38,174311,101260,73051
2022,CA,39,131597,75896,55701
2022,CA,4,260907,176900,84007
2022,CA,40,284311,122722,161589
2022,CA,41,236638,112769,123869
2022,CA,42,145120,99217,45903
2022,CA,43,123447,95462,27985
2022,CA,44,138714,100160,38554
2022,CA,45,217426,103466,113960
2022,CA,46,126298,78041,48257
2022,CA,47,265635,137374,128261
2022,CA,48,257071,101900,155171
2022,CA,49,291735,153541,138194
2022,CA,5,283030,109506,173524
2022,CA,50,268635,168816,99819
