State,CD #,Year,Reock,Rating,Polsby-Popper,Rating.1,KIWYSI Score,CD 2022 Total Votes,CD 2022 D Votes,CD 2022 R Votes,CD 2024 Total Votes,CD 2024 D Votes,CD 2024 R Votes,Voting Age Total Population (VAP),White VAP,Hispanic VAP,Black VAP,Asian VAP,Native American VAP,Pacific VAP,Total Population,White Population,Hispanic Population,Black Population,Asian Population,Native American Population,Pacific Population,Pres 2020 Total Votes,Pres 2020 D Votes,Pres 2020 R Votes,Pres 2024 Total Votes,Pres 2024 D Votes,Pres 2024 R Votes
AK,AL,2022,0,0,0.06,0,1,263610,128553,129379,329555,156245,159550,554003,340580,33441,23665,43407,105737,11184,733391,421758,49824,35454,61460,160287,18668,357569,153778,189951,338177,140026,184458
AL,1,2022,0.41,65,0.2,24,39,168150,0,140592,,,,557535,367960,18014,142777,10292,17316,670,717754,455278,27196,196827,14541,23350,1024,327929,115566,208118,330255,106467,219701
AL,2,2022,0.48,93,0.25,37,50,198961,58014,137460,,,,557677,345900,19933,167971,12736,11706,834,717755,426142,31708,228648,17621,15742,1253,320603,111275,205438,311239,102146,205568
AL,3,2022,0.42,68,0.26,39,48,190406,47859,135602,,,,564281,382226,17334,141011,11793,11895,729,717754,473307,26849,187284,15589,15474,1133,317463,102771,210791,311175,91639,216113
AL,4,2022,0.32,30,0.19,23,27,195733,26694,164655,,,,556133,458324,31463,42819,4571,19581,506,717754,573666,53874,59655,6525,26440,822,326949,60726,262334,323582,52924,267544
AL,5,2022,0.25,0,0.3,49,55,212317,62740,142435,,,,561187,397809,29646,101339,14172,18333,996,717754,491054,47307,136782,20008,24446,1578,346696,123036,216609,353780,122895,224420
AL,6,2022,0.36,42,0.15,14,29,184203,0,154233,,,,552286,393028,29711,104551,12615,11937,579,717754,491446,46872,145897,17669,15967,848,356536,122033,228506,347862,117610,224175
AL,7,2022,0.47,90,0.19,24,35,193940,123233,67416,,,,568067,219297,20755,313904,8730,7346,576,717754,260458,30241,409643,10824,9611,821,327106,214217,109374,287197,178731,105095
AL,1,2024,0.19,0,0.15,12,17,,,,329854,70929,258619,557336,416674,21367,90582,10005,17360,838,717754,519198,33476,126801,14424,23200,1247,326343,79020,243221,333911,73358,256976
AL,2,2024,0.2,0,0.14,10,18,,,,289674,158041,131414,558661,247928,17215,272023,12529,10700,748,717754,298335,26535,364985,16843,14686,1172,313181,174134,135348,290626,155178,131721
AL,3,2024,0.47,86,0.36,66,64,,,,249008,0,243848,564595,405145,17599,116843,11992,12748,591,717754,502129,27470,156204,15755,16548,909,322821,93356,225352,316410,82862,230048
AL,4,2024,0.32,27,0.2,25,26,,,,277872,0,274498,555217,459881,33850,40112,4593,17274,538,717754,575711,57537,56723,6614,23226,836,326492,60120,262489,323861,52911,267661
AL,5,2024,0.32,27,0.37,68,76,,,,262410,0,250322,560406,393794,29677,102735,14045,20338,1004,717754,486765,47408,138438,19813,27316,1583,346248,122869,216421,353600,122382,224861
AL,6,2024,0.46,84,0.2,25,39,,,,346625,102504,243741,552411,405521,25174,96958,12084,11892,572,717755,510804,39453,133963,17229,15924,841,355048,107240,241972,350771,104195,240772
AL,7,2024,0.47,88,0.21,27,40,,,,293220,186723,106312,568540,235601,21974,295119,9661,7802,599,717754,278409,32168,387622,12099,10130,891,333149,212885,116367,295911,181526,110577
AR,1,2022,0.36,43,0.12,4,24,208372,54598,153774,267177,64113,194711,579039,438676,18103,97812,5576,16066,1079,752509,551532,29297,139921,7852,21046,1895,286792,80516,197832,"273,446","72,183","196,035"
AR,2,2022,0.42,69,0.26,41,50,246446,86887,147975,306286,125777,180509,582706,402756,30008,118487,13270,17665,677,752710,498838,46673,166319,18424,23460,1008,333041,140254,183964,"319,500","131,089","180,710"
AR,3,2022,0.46,85,0.44,84,73,223588,73541,142401,301084,95652,192101,566367,405651,78667,20163,23673,31822,7661,753219,509829,124073,31858,33269,45272,13592,300274,110479,180794,"309,672","112,073","189,161"
AR,4,2022,0.52,100,0.26,40,54,216696,56745,153850,270253,73207,197046,584161,406689,35224,115416,6220,19359,876,753086,503351,56804,157870,9013,25836,1379,298962,92683,198057,"280,058","81,560","193,335"
AZ,1,2022,0.41,64,0.37,67,68,361477,179141,182336,434504,208966,225538,650548,479118,90167,26116,35636,19976,1850,794611,555355,129929,36781,48562,27711,2877,462714,231828,225000,450734,216232,230237
AZ,2,2022,0.6,100,0.3,50,65,323396,149151,174169,406431,184985,221413,628519,377323,92007,17206,12333,130920,2134,794612,439262,133934,25186,16397,187042,3240,405642,183709,215674,416477,174969,237306
AZ,3,2022,0.45,79,0.38,70,70,141074,108599,32475,202065,143336,53705,568035,135143,330596,67446,21438,29136,2605,794612,155477,497430,99476,29025,41416,4031,229528,171012,54815,213222,147522,62762
AZ,4,2022,0.21,0,0.2,26,28,265498,148941,116521,334545,176428,152052,628965,373705,145556,41594,45759,27295,3757,794611,438281,212504,59600,57732,38613,5715,371378,201148,162949,347506,182893,159723
AZ,5,2022,0.51,100,0.3,51,54,321590,120243,182464,423308,167680,255628,584092,411245,89803,26563,42047,14972,3028,794612,532842,141062,41770,61660,22476,4918,417448,171318,239637,445025,175673,264571
AZ,6,2022,0.38,51,0.23,32,38,349283,171969,177201,431220,204774,215596,642434,432642,136923,27963,27698,20616,3508,794611,501707,196567,41106,37198,28394,4976,436083,214892,214586,440175,216024,219323
AZ,7,2022,0.16,0,0.17,17,26,195862,126418,69444,271011,171954,99057,601175,197763,333554,29754,18143,35015,2162,794611,226110,475267,43752,23815,49322,3173,296842,194849,97589,281685,170352,108028
AZ,8,2022,0.5,100,0.32,54,57,204713,0,197555,368613,160344,208269,628985,431740,113766,33748,33420,18558,2272,794610,510902,168012,50344,46829,26290,3572,402270,171106,225569,392023,162183,226186
AZ,9,2022,0.33,32,0.18,20,29,197185,0,192796,382223,132640,249583,609223,379415,157245,31786,21156,22742,3165,794612,456611,237548,48379,29914,32296,4710,363389,132281,225867,402472,137012,262106
