State,CD #,Year,Reock,Rating,Polsby-Popper,Rating.1,KIWYSI Score,CD 2022 Total Votes,CD 2022 D Votes,CD 2022 R Votes,CD 2024 Total Votes,CD 2024 D Votes,CD 2024 R Votes
AK,AL,2022,0.0,0.0,0.06,0.0,1.0,263610.0,128553.0,129379.0,329555.0,156245.0,159550.0
AL,1,2022,0.41,65.0,0.2,24.0,39.0,168150.0,0.0,140592.0,,,
AL,2,2022,0.48,93.0,0.25,37.0,50.0,198961.0,58014.0,137460.0,,,
AL,3,2022,0.42,68.0,0.26,39.0,48.0,190406.0,47859.0,135602.0,,,
AL,4,2022,0.32,30.0,0.19,23.0,27.0,195733.0,26694.0,164655.0,,,
AL,5,2022,0.25,0.0,0.3,49.0,55.0,212317.0,62740.0,142435.0,,,
AL,6,2022,0.36,42.0,0.15,14.0,29.0,184203.0,0.0,154233.0,,,
AL,7,2022,0.47,90.0,0.19,24.0,35.0,193940.0,123233.0,67416.0,,,
AL,1,2024,0.19,0.0,0.15,12.0,17.0,,,,329854.0,70929.0,258619.0
AL,2,2024,0.2,0.0,0.14,10.0,18.0,,,,289674.0,158041.0,131414.0
AL,3,2024,0.47,86.0,0.36,66.0,64.0,,,,249008.0,0.0,243848.0
AL,4,2024,0.32,27.0,0.2,25.0,26.0,,,,277872.0,0.0,274498.0
AL,5,2024,0.32,27.0,0.37,68.0,76.0,,,,262410.0,0.0,250322.0
AL,6,2024,0.46,84.0,0.2,25.0,39.0,,,,346625.0,102504.0,243741.0
AL,7,2024,0.47,88.0,0.21,27.0,40.0,,,,293220.0,186723.0,106312.0
AR,1,2022,0.36,43.0,0.12,4.0,24.0,208372.0,54598.0,153774.0,267177.0,64113.0,194711.0
AR,2,2022,0.42,69.0,0.26,41.0,50.0,246446.0,86887.0,147975.0,306286.0,125777.0,180509.0
AR,3,2022,0.46,85.0,0.44,84.0,73.0,223588.0,73541.0,142401.0,301084.0,95652.0,192101.0
AR,4,2022,0.52,100.0,0.26,40.0,54.0,216696.0,56745.0,153850.0,270253.0,73207.0,197046.0
AZ,1,2022,0.41,64.0,0.37,67.0,68.0,361477.0,179141.0,182336.0,434504.0,208966.0,225538.0
AZ,2,2022,0.6,100.0,0.3,50.0,65.0,323396.0,149151.0,174169.0,406431.0,184985.0,221413.0
AZ,3,2022,0.45,79.0,0.38,70.0,70.0,141074.0,108599.0,32475.0,202065.0,143336.0,53705.0
AZ,4,2022,0.21,0.0,0.2,26.0,28.0,265498.0,148941.0,116521.0,334545.0,176428.0,152052.0
AZ,5,2022,0.51,100.0,0.3,51.0,54.0,321590.0,120243.0,182464.0,423308.0,167680.0,255628.0
AZ,6,2022,0.38,51.0,0.23,32.0,38.0,349283.0,171969.0,177201.0,431220.0,204774.0,215596.0
AZ,7,2022,0.16,0.0,0.17,17.0,26.0,195862.0,126418.0,69444.0,271011.0,171954.0,99057.0
AZ,8,2022,0.5,100.0,0.32,54.0,57.0,204713.0,0.0,197555.0,368613.0,160344.0,208269.0
AZ,9,2022,0.33,32.0,0.18,20.0,29.0,197185.0,0.0,192796.0,382223.0,132640.0,249583.0
CA,1,2022,0.52,100.0,0.22,29.0,47.0,246225.0,93386.0,152839.0,319228.0,110636.0,208592.0
CA,2,2022,0.24,0.0,0.18,20.0,22.0,308749.0,229720.0,79029.0,379617.0,272883.0,106734.0
