State,CD #,Year,Reock,Rating,Polsby-Popper,Rating.1,KIWYSI Score,CD 2022 Total Votes,CD 2022 D Votes,CD 2022 R Votes,CD 2024 Total Votes,CD 2024 D Votes,CD 2024 R Votes,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
AK,AL,2022,0.0,0.0,0.06,0.0,1.0,263610.0,128553.0,129379.0,329555.0,156245.0,159550.0,554003,340580,33441,23665,43407,105737,11184,733391.0,421758.0,49824.0,35454.0,61460.0,160287.0,18668.0,357569,153778,189951,338177.0,140026.0,184458.0
AL,1,2022,0.41,65.0,0.2,24.0,39.0,168150.0,0.0,140592.0,,,,557535,367960,18014,142777,10292,17316,670,717754.0,455278.0,27196.0,196827.0,14541.0,23350.0,1024.0,327929,115566,208118,330255.0,106467.0,219701.0
AL,2,2022,0.48,93.0,0.25,37.0,50.0,198961.0,58014.0,137460.0,,,,557677,345900,19933,167971,12736,11706,834,717755.0,426142.0,31708.0,228648.0,17621.0,15742.0,1253.0,320603,111275,205438,311239.0,102146.0,205568.0
AL,3,2022,0.42,68.0,0.26,39.0,48.0,190406.0,47859.0,135602.0,,,,564281,382226,17334,141011,11793,11895,729,717754.0,473307.0,26849.0,187284.0,15589.0,15474.0,1133.0,317463,102771,210791,311175.0,91639.0,216113.0
AL,4,2022,0.32,30.0,0.19,23.0,27.0,195733.0,26694.0,164655.0,,,,556133,458324,31463,42819,4571,19581,506,717754.0,573666.0,53874.0,59655.0,6525.0,26440.0,822.0,326949,60726,262334,323582.0,52924.0,267544.0
AL,5,2022,0.25,0.0,0.3,49.0,55.0,212317.0,62740.0,142435.0,,,,561187,397809,29646,101339,14172,18333,996,717754.0,491054.0,47307.0,136782.0,20008.0,24446.0,1578.0,346696,123036,216609,353780.0,122895.0,224420.0
AL,6,2022,0.36,42.0,0.15,14.0,29.0,184203.0,0.0,154233.0,,,,552286,393028,29711,104551,12615,11937,579,717754.0,491446.0,46872.0,145897.0,17669.0,15967.0,848.0,356536,122033,228506,347862.0,117610.0,224175.0
AL,7,2022,0.47,90.0,0.19,24.0,35.0,193940.0,123233.0,67416.0,,,,568067,219297,20755,313904,8730,7346,576,717754.0,260458.0,30241.0,409643.0,10824.0,9611.0,821.0,327106,214217,109374,287197.0,178731.0,105095.0
AL,1,2024,0.19,0.0,0.15,12.0,17.0,,,,329854.0,70929.0,258619.0,557336,416674,21367,90582,10005,17360,838,717754.0,519198.0,33476.0,126801.0,14424.0,23200.0,1247.0,326343,79020,243221,333911.0,73358.0,256976.0
AL,2,2024,0.2,0.0,0.14,10.0,18.0,,,,289674.0,158041.0,131414.0,558661,247928,17215,272023,12529,10700,748,717754.0,298335.0,26535.0,364985.0,16843.0,14686.0,1172.0,313181,174134,135348,290626.0,155178.0,131721.0
AL,3,2024,0.47,86.0,0.36,66.0,64.0,,,,249008.0,0.0,243848.0,564595,405145,17599,116843,11992,12748,591,717754.0,502129.0,27470.0,156204.0,15755.0,16548.0,909.0,322821,93356,225352,316410.0,82862.0,230048.0
AL,4,2024,0.32,27.0,0.2,25.0,26.0,,,,277872.0,0.0,274498.0,555217,459881,33850,40112,4593,17274,538,717754.0,575711.0,57537.0,56723.0,6614.0,23226.0,836.0,326492,60120,262489,323861.0,52911.0,267661.0
AL,5,2024,0.32,27.0,0.37,68.0,76.0,,,,262410.0,0.0,250322.0,560406,393794,29677,102735,14045,20338,1004,717754.0,486765.0,47408.0,138438.0,19813.0,27316.0,1583.0,346248,122869,216421,353600.0,122382.0,224861.0
AL,6,2024,0.46,84.0,0.2,25.0,39.0,,,,346625.0,102504.0,243741.0,552411,405521,25174,96958,12084,11892,572,717755.0,510804.0,39453.0,133963.0,17229.0,15924.0,841.0,355048,107240,241972,350771.0,104195.0,240772.0
AL,7,2024,0.47,88.0,0.21,27.0,40.0,,,,293220.0,186723.0,106312.0,568540,235601,21974,295119,9661,7802,599,717754.0,278409.0,32168.0,387622.0,12099.0,10130.0,891.0,333149,212885,116367,295911.0,181526.0,110577.0
AR,1,2022,0.36,43.0,0.12,4.0,24.0,208372.0,54598.0,153774.0,267177.0,64113.0,194711.0,579039,438676,18103,97812,5576,16066,1079,752509.0,551532.0,29297.0,139921.0,7852.0,21046.0,1895.0,286792,80516,197832,,,
AR,2,2022,0.42,69.0,0.26,41.0,50.0,246446.0,86887.0,147975.0,306286.0,125777.0,180509.0,582706,402756,30008,118487,13270,17665,677,752710.0,498838.0,46673.0,166319.0,18424.0,23460.0,1008.0,333041,140254,183964,,,
AR,3,2022,0.46,85.0,0.44,84.0,73.0,223588.0,73541.0,142401.0,301084.0,95652.0,192101.0,566367,405651,78667,20163,23673,31822,7661,753219.0,509829.0,124073.0,31858.0,33269.0,45272.0,13592.0,300274,110479,180794,,,
AR,4,2022,0.52,100.0,0.26,40.0,54.0,216696.0,56745.0,153850.0,270253.0,73207.0,197046.0,584161,406689,35224,115416,6220,19359,876,753086.0,503351.0,56804.0,157870.0,9013.0,25836.0,1379.0,298962,92683,198057,,,
AZ,1,2022,0.41,64.0,0.37,67.0,68.0,361477.0,179141.0,182336.0,434504.0,208966.0,225538.0,650548,479118,90167,26116,35636,19976,1850,794611.0,555355.0,129929.0,36781.0,48562.0,27711.0,2877.0,462714,231828,225000,450734.0,216232.0,230237.0
AZ,2,2022,0.6,100.0,0.3,50.0,65.0,323396.0,149151.0,174169.0,406431.0,184985.0,221413.0,628519,377323,92007,17206,12333,130920,2134,794612.0,439262.0,133934.0,25186.0,16397.0,187042.0,3240.0,405642,183709,215674,416477.0,174969.0,237306.0
AZ,3,2022,0.45,79.0,0.38,70.0,70.0,141074.0,108599.0,32475.0,202065.0,143336.0,53705.0,568035,135143,330596,67446,21438,29136,2605,794612.0,155477.0,497430.0,99476.0,29025.0,41416.0,4031.0,229528,171012,54815,213222.0,147522.0,62762.0
AZ,4,2022,0.21,0.0,0.2,26.0,28.0,265498.0,148941.0,116521.0,334545.0,176428.0,152052.0,628965,373705,145556,41594,45759,27295,3757,794611.0,438281.0,212504.0,59600.0,57732.0,38613.0,5715.0,371378,201148,162949,347506.0,182893.0,159723.0
AZ,5,2022,0.51,100.0,0.3,51.0,54.0,321590.0,120243.0,182464.0,423308.0,167680.0,255628.0,584092,411245,89803,26563,42047,14972,3028,794612.0,532842.0,141062.0,41770.0,61660.0,22476.0,4918.0,417448,171318,239637,445025.0,175673.0,264571.0
AZ,6,2022,0.38,51.0,0.23,32.0,38.0,349283.0,171969.0,177201.0,431220.0,204774.0,215596.0,642434,432642,136923,27963,27698,20616,3508,794611.0,501707.0,196567.0,41106.0,37198.0,28394.0,4976.0,436083,214892,214586,440175.0,216024.0,219323.0
AZ,7,2022,0.16,0.0,0.17,17.0,26.0,195862.0,126418.0,69444.0,271011.0,171954.0,99057.0,601175,197763,333554,29754,18143,35015,2162,794611.0,226110.0,475267.0,43752.0,23815.0,49322.0,3173.0,296842,194849,97589,281685.0,170352.0,108028.0
AZ,8,2022,0.5,100.0,0.32,54.0,57.0,204713.0,0.0,197555.0,368613.0,160344.0,208269.0,628985,431740,113766,33748,33420,18558,2272,794610.0,510902.0,168012.0,50344.0,46829.0,26290.0,3572.0,402270,171106,225569,392023.0,162183.0,226186.0
AZ,9,2022,0.33,32.0,0.18,20.0,29.0,197185.0,0.0,192796.0,382223.0,132640.0,249583.0,609223,379415,157245,31786,21156,22742,3165,794612.0,456611.0,237548.0,48379.0,29914.0,32296.0,4710.0,363389,132281,225867,402472.0,137012.0,262106.0
CA,1,2022,0.52,100.0,0.22,29.0,47.0,246225.0,93386.0,152839.0,319228.0,110636.0,208592.0,592603,387123,115742,15965,39916,35585,3893,,,,,,,,348713,136945,203185,326816.0,118071.0,199592.0
CA,2,2022,0.24,0.0,0.18,20.0,22.0,308749.0,229720.0,79029.0,379617.0,272883.0,106734.0,614494,420290,110048,15735,36448,33169,3672,,,,,,,,422260,310452,101528,390252.0,276666.0,100337.0
CA,3,2022,0.13,0.0,0.13,8.0,8.0,338199.0,156761.0,181438.0,422313.0,188067.0,234246.0,603885,436701,74828,14325,53685,21894,3899,,,,,,,,442392,211804,219696,433846.0,201872.0,218348.0
CA,4,2022,0.35,40.0,0.18,19.0,31.0,260907.0,176900.0,84007.0,342680.0,227730.0,114950.0,611312,338179,168374,24962,61291,24417,5141,,,,,,,,373476,250454,113896,351475.0,225098.0,115327.0
CA,5,2022,0.28,14.0,0.17,17.0,33.0,283030.0,109506.0,173524.0,368562.0,140919.0,227643.0,599484,377863,133798,18592,45747,26338,5449,,,,,,,,400862,171264,220708,380401.0,151656.0,219017.0
CA,6,2022,0.27,8.0,0.3,51.0,57.0,216383.0,121058.0,95325.0,287072.0,165408.0,121664.0,577524,295331,117424,64045,84712,22178,8749,,,,,,,,333278,192843,131441,301388.0,166456.0,124649.0
CA,7,2022,0.27,7.0,0.24,36.0,30.0,220651.0,150618.0,70033.0,295770.0,197429.0,98341.0,582846,204018,140253,72402,151752,20345,13839,,,,,,,,339414,228896,102731,309169.0,195089.0,103105.0
CA,8,2022,0.4,58.0,0.22,29.0,37.0,192135.0,145501.0,46634.0,273030.0,201962.0,71068.0,588571,158532,185553,104392,131671,21090,9185,,,,,,,,321349,244078,70549,284892.0,199908.0,75663.0
CA,9,2022,0.44,75.0,0.24,35.0,52.0,174400.0,95598.0,78802.0,251357.0,130183.0,121174.0,561822,183363,211242,50490,108990,21367,7080,,,,,,,,285425,157655,121663,258084.0,122864.0,127413.0
CA,10,2022,0.39,55.0,0.22,30.0,45.0,251380.0,198415.0,0.0,364544.0,242325.0,122219.0,585695,300385,97536,34008,143652,13368,5305,,,,,,,,409374,280965,119809,378934.0,247144.0,119032.0
CA,11,2022,0.1,0.0,0.26,41.0,7.0,263065.0,220848.0,42217.0,339111.0,274796.0,64315.0,664995,296850,87723,43691,227568,12865,4609,,,,,,,,393710,339716,46188,361181.0,295462.0,50870.0
CA,12,2022,0.49,95.0,0.49,96.0,88.0,239969.0,217110.0,22859.0,283025.0,283025.0,0.0,621080,218543,131521,111824,152734,19039,5745,,,,,,,,367980,328667,31678,318372.0,269134.0,33869.0
CA,13,2022,0.39,56.0,0.23,32.0,47.0,133556.0,66496.0,67060.0,210921.0,105554.0,105367.0,544744,140851,330757,21852,42536,27199,4066,,,,,,,,230922,125352,100331,218041.0,100315.0,111921.0
CA,14,2022,0.34,34.0,0.31,53.0,53.0,198464.0,137612.0,60852.0,276388.0,187263.0,89125.0,592734,166904,134915,38914,241806,15190,11206,,,,,,,,334446,239712,87676,290733.0,191247.0,88243.0
CA,15,2022,0.26,4.0,0.36,65.0,59.0,194874.0,194874.0,0.0,289544.0,211648.0,77896.0,609967,184078,150342,22421,241550,13137,10719,,,,,,,,351206,272983,71576,305556.0,220581.0,74238.0
CA,16,2022,0.33,32.0,0.19,22.0,27.0,241007.0,241007.0,0.0,308476.0,308476.0,0.0,600512,277950,104250,16618,192488,12121,4335,,,,,,,,382014,288155,85572,343983.0,249290.0,82378.0
CA,17,2022,0.49,95.0,0.25,38.0,48.0,180253.0,127853.0,52400.0,254877.0,172462.0,82415.0,603500,137880,90956,16225,353112,9725,4758,,,,,,,,301908,219544,76383,264215.0,176367.0,76220.0
CA,18,2022,0.27,10.0,0.17,17.0,34.0,151513.0,99776.0,51737.0,228506.0,147674.0,80832.0,570234,121456,346468,17122,81490,28045,4005,,,,,,,,268205,190267,72132,236193.0,149243.0,79554.0
CA,19,2022,0.15,0.0,0.1,0.0,1.0,283310.0,194494.0,88816.0,364320.0,252458.0,111862.0,609585,315206,133987,19782,127560,18784,5082,,,,,,,,412422,283131,119846,376406.0,246335.0,116873.0
CA,20,2022,0.35,41.0,0.1,0.0,16.0,228781.0,74934.0,153847.0,288788.0,0.0,288788.0,569445,304044,171557,25129,51274,25372,2892,,,,,,,,349337,127263,214222,328291.0,110593.0,210143.0
CA,21,2022,0.24,0.0,0.19,23.0,35.0,125647.0,68074.0,57573.0,195531.0,102798.0,92733.0,531422,112409,322669,30845,59860,22888,1987,,,,,,,,226866,134095,88103,199962.0,101183.0,93534.0
CA,22,2022,0.49,94.0,0.31,53.0,58.0,102856.0,49862.0,52994.0,167507.0,78023.0,89484.0,543049,101709,376448,31488,27527,21921,1958,,,,,,,,188276,104009,79735,173170.0,79316.0,89307.0
CA,23,2022,0.51,100.0,0.41,77.0,83.0,169105.0,65908.0,103197.0,264849.0,105563.0,159286.0,570766,251946,213195,57279,35653,24662,4367,,,,,,,,298403,130956,160279,273840.0,110233.0,156309.0
CA,24,2022,0.25,1.0,0.15,12.0,16.0,262552.0,159019.0,103533.0,342479.0,214724.0,127755.0,612075,331525,207468,15700,44985,23309,2923,,,,,,,,379237,240252,130039,351723.0,214429.0,126327.0
CA,25,2022,0.42,68.0,0.16,15.0,25.0,152742.0,87641.0,65101.0,245031.0,137837.0,107194.0,572587,162763,345745,32349,23960,24548,2402,,,,,,,,265251,150333,109729,250551.0,125439.0,119250.0
CA,26,2022,0.46,83.0,0.29,49.0,61.0,246789.0,134575.0,112214.0,334306.0,187393.0,146913.0,587257,271460,229449,15872,62277,19978,3028,,,,,,,,378388,223043,147455,345593.0,190714.0,145126.0
CA,27,2022,0.45,78.0,0.37,67.0,72.0,196516.0,91892.0,104624.0,300090.0,154040.0,146050.0,572464,213192,224434,64775,64664,19605,2818,,,,,,,,341359,188047,145845,311267.0,157116.0,144967.0
CA,28,2022,0.36,45.0,0.13,8.0,29.0,226557.0,150062.0,76495.0,314944.0,204489.0,110455.0,619390,179249,152706,29460,256185,13979,2424,,,,,,,,370236,244199,118773,330410.0,204234.0,115164.0
