ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,794611,555355,129929,36781,48562,27711,2877,650548,479118,90167,26116,35636,19976,1850,386991,183759,197016,462714,231828,225000,362036,179141,182336,450734,216232,230237,435290,208966,225538
2,2,794612,439262,133934,25186,16397,187042,3240,628519,377323,92007,17206,12333,130920,2134,331400,147209,176795,405642,183709,215674,323580,148709,174308,416477,174969,237306,406376,184963,221413
3,3,794612,155477,497430,99476,29025,41416,4031,568035,135143,330596,67446,21438,29136,2605,177299,131484,41808,229528,171012,54815,141287,108599,32475,213222,147522,62762,202383,143336,53705
4,4,794611,438281,212504,59600,57732,38613,5715,628965,373705,145556,41594,45759,27295,3757,302289,156461,138427,371378,201148,162949,265854,148941,116521,347506,182893,159723,334805,176428,152052
5,5,794612,532842,141062,41770,61660,22476,4918,584092,411245,89803,26563,42047,14972,3028,323023,127801,188978,417448,171318,239637,321814,120275,182464,445025,175673,264571,423768,167680,255628
6,6,794611,501707,196567,41106,37198,28394,4976,642434,432642,136923,27963,27698,20616,3508,368058,173479,187398,436083,214892,214586,350083,172411,177062,440175,216024,219323,431129,204774,215596
7,7,794611,226110,475267,43752,23815,49322,3173,601175,197763,333554,29754,18143,35015,2162,238567,156296,77138,296842,194849,97589,196214,126418,69442,281685,170352,108028,271069,171954,99057
8,8,794610,510902,168012,50344,46829,26290,3572,628985,431740,113766,33748,33420,18558,2272,327767,133741,187841,402270,171106,225569,222207,7158,197555,392023,162183,226186,369364,160344,208269
9,9,794612,456611,237548,48379,29914,32296,4710,609223,379415,157245,31786,21156,22742,3165,276953,98509,173679,363389,132281,225867,211227,0,192796,402472,137012,262106,382517,132640,249583
