ID,Label,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,760066,470764,168674,22045,54955,49322,5439,592603,387123,115742,15965,39916,35585,3893,292337,110364,175931,348713,136945,203185,326816,118071,199592
2,2,760067,494857,155391,19225,49662,44891,5023,614494,420290,110048,15735,36448,33169,3672,361958,261331,92202,422260,310452,101528,390252,276666,100337
3,3,760065,527693,107658,18422,76333,30117,5695,603885,436701,74828,14325,53685,21894,3899,363942,164763,191190,442392,211804,219696,433846,201872,218348
4,4,760065,391914,238697,31307,78334,32399,7134,611312,338179,168374,24962,61291,24417,5141,312536,205334,100249,373476,250454,113896,351475,225098,115327
5,5,760065,451671,193669,24900,63007,35287,7228,599484,377863,133798,18592,45747,26338,5449,331386,137196,188194,400862,171264,220708,380401,151656,219017
6,6,760066,358160,174324,92636,117030,29297,12161,577524,295331,117424,64045,84712,22178,8749,263300,149024,108031,333278,192843,131441,301388,166456,124649
7,7,760066,238259,202409,100217,203594,26863,18701,582846,204018,140253,72402,151752,20345,13839,270918,181201,84599,339414,228896,102731,309169,195089,103105
8,8,760065,181978,267016,140076,165909,27868,12890,588571,158532,185553,104392,131671,21090,9185,253405,191948,56991,321349,244078,70549,284892,199908,75663
9,9,760066,218118,315472,71610,150016,29881,9887,561822,183363,211242,50490,108990,21367,7080,221658,119462,98338,285425,157655,121663,258084,122864,127413
10,10,760066,362247,138593,48392,201432,18025,7544,585695,300385,97536,34008,143652,13368,5305,329408,217274,105526,409374,280965,119809,378934,247144,119032
11,11,760067,328242,107106,52253,262605,14516,5709,664995,296850,87723,43691,227568,12865,4609,350643,303687,40516,393710,339716,46188,361181,295462,50870
12,12,760065,249406,179534,140008,186168,22904,7953,621080,218543,131521,111824,152734,19039,5745,319532,286768,26646,367980,328667,31678,318372,269134,33869
13,13,760065,168166,497280,31089,59163,38192,5795,544744,140851,330757,21852,42536,27199,4066,178391,96360,78884,230922,125352,100331,218041,100315,111921
14,14,760065,194317,188159,51796,317026,19768,14773,592734,166904,134915,38914,241806,15190,11206,266879,189166,72411,334446,239712,87676,290733,191247,88243
15,15,760066,216763,201867,28846,300594,16686,14175,609967,184078,150342,22421,241550,13137,10719,287226,222297,60282,351206,272983,71576,305556,220581,74238
16,16,760067,330179,145361,22513,252667,15410,5802,600512,277950,104250,16618,192488,12121,4335,324350,240933,77018,382014,288155,85572,343983,249290,82378
17,17,760066,158606,124180,21732,450797,12855,6394,603500,137880,90956,16225,353112,9725,4758,240222,175417,60269,301908,219544,76383,264215,176367,76220
18,18,760065,139755,497849,23170,101362,36024,5476,570234,121456,346468,17122,81490,28045,4005,207891,147707,56179,268205,190267,72132,236193,149243,79554
19,19,760067,366442,187658,26816,165500,23670,6972,609585,315206,133987,19782,127560,18784,5082,344978,232600,105101,412422,283131,119846,376406,246335,116873
20,20,760067,376499,256296,37138,71300,35688,4235,569445,304044,171557,25129,51274,25372,2892,275165,94186,176298,349337,127263,214222,328291,110593,210143
21,21,760065,135852,488680,48616,86660,34579,2986,531422,112409,322669,30845,59860,22888,1987,174260,101949,69551,226866,134095,88103,199962,101183,93534
22,22,760067,118980,560774,41908,38279,35188,2627,543049,101709,376448,31488,27527,21921,1958,141738,78720,60361,188276,104009,79735,173170,79316,89307
23,23,760066,302945,315549,83895,46542,33571,6426,570766,251946,213195,57279,35653,24662,4367,231095,96529,130395,298403,130956,160279,273840,110233,156309
24,24,760066,379230,293830,19257,55909,30445,4071,612075,331525,207468,15700,44985,23309,2923,321366,196246,118157,379237,240252,130039,351723,214429,126327
25,25,760066,186235,492481,44916,32633,36831,3584,572587,162763,345745,32349,23960,24548,2402,198795,112095,83572,265251,150333,109729,250551,125439,119250
26,26,760067,321851,326572,23140,82439,26950,4452,587257,271460,229449,15872,62277,19978,3028,308147,174970,127116,378388,223043,147455,345593,190714,145126
27,27,760067,256708,322512,91837,86252,27078,3947,572464,213192,224434,64775,64664,19605,2818,267344,143636,118386,341359,188047,145845,311267,157116,144967
28,28,760066,206811,201974,37656,313563,17435,3133,619390,179249,152706,29460,256185,13979,2424,293363,190646,97391,370236,244199,118773,330410,204234,115164
29,29,760066,162054,488578,41598,71850,29450,2988,593418,139831,362530,31131,58135,22004,1861,209394,162577,42676,274866,204898,63871,234298,154251,72704
30,30,760066,422161,178008,37805,115839,16346,2917,649795,371101,142620,31723,97836,13607,2249,307318,231247,70676,379617,274105,98617,338770,233113,94014
31,31,760066,113842,460464,28425,162902,28734,3204,596625,99859,342496,19758,133988,21918,2145,233834,152876,76285,307090,198012,102709,266051,151512,106527
32,32,760067,398035,194247,45266,116353,16399,3189,620064,339654,145586,34997,93339,12622,2415,316727,223011,88338,389556,270583,111909,349352,224333,114805
33,33,760067,132971,470902,92784,66858,31260,5126,553468,111004,324616,66067,49286,21453,3236,203795,126330,73509,273492,168297,98989,243550,128926,107553
34,34,760067,82569,497280,43195,142435,30645,3067,610534,75535,376198,34589,124324,26973,1978,197128,165886,27208,253311,205047,42312,214522,156727,48089
35,35,760067,112267,490236,59553,103029,30781,4415,575415,97719,352257,44010,79996,22247,3041,199634,127680,68136,273717,172149,95610,243927,130916,105838
36,36,760066,420849,126932,39243,161956,14593,4551,634602,365202,98080,30729,130379,11578,3485,354858,249663,98302,421859,299632,113497,385607,261900,111111
37,37,760066,99490,409691,193744,60398,27007,2855,592275,86465,298131,156977,50445,22198,1895,225636,198574,23557,279706,239694,34727,235123,184949,42949
38,38,760065,102413,464502,23701,173742,28483,3893,600686,90633,350026,16159,142759,21441,2818,260841,168751,87113,339024,217235,114868,294851,166547,119129
39,39,760067,148112,473337,81777,57985,31786,5587,560688,125403,328249,58471,44296,21705,3777,201320,124039,73269,266773,165325,95617,236170,125904,103010
40,40,760066,368663,191405,21198,171045,17896,4788,602203,310748,137083,15176,130743,13100,3327,347036,161379,178929,424644,211994,204055,391294,184629,193658
41,41,760067,334941,290858,50072,76917,26608,6097,593176,286078,203050,36609,57672,19066,4189,280106,130491,145397,368386,178930,182957,362476,165816,187206
42,42,760066,137105,489779,63166,73060,30754,5482,586430,121254,358174,46534,57515,23249,3908,227921,165292,57614,289450,207588,74946,248048,159936,79485
43,43,760067,52450,433512,201912,75741,27444,5906,569643,45349,307997,155908,60171,19946,4233,211941,176300,32003,270712,218705,46038,223391,162810,53414
44,44,760065,94688,464204,99052,102676,29728,10545,585395,84314,339063,74822,83345,22821,7977,226911,169814,52580,292874,213589,72405,251040,164011,79110
45,45,760067,191564,228657,24479,312303,18230,6505,603905,166075,164636,17509,250168,13419,4801,278063,145214,127642,357128,186195,164110,324170,159788,154805
46,46,760067,112657,495991,23711,130408,32208,5595,579793,99973,354631,15572,105968,25618,3821,191820,125885,62114,253548,162577,85482,218247,125117,86405
47,47,760066,381669,131641,19892,216214,14603,5095,616104,326774,98544,14966,165793,11073,3682,316128,166111,143815,390913,212946,169637,362527,182471,167342
48,48,760065,404879,223522,37311,76567,31751,7544,582232,332290,152630,25522,55840,22619,5187,311413,123844,181415,391073,167038,215258,371472,152739,209567
49,49,760066,439259,206882,27749,72822,21930,7980,599978,365829,146920,19910,54409,16794,5662,332774,172939,152962,405333,221243,174997,385279,202121,172262
50,50,760067,415912,164328,31810,135852,17537,5535,619990,358758,121370,24736,104040,12961,4074,331971,208072,116861,402764,263261,129951,372323,234982,124903
51,51,760065,346781,190017,61910,153099,20775,8931,606885,294681,137187,45225,120846,15340,6648,298720,180494,111688,369575,230850,129986,338799,204027,124411
52,52,760066,101294,457390,74147,135487,28117,8609,579759,88568,331832,54670,106337,18913,6183,231872,159934,67608,304940,205520,93112,269031,159462,102468
