ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,769221,533911,59438,116673,35309,25419,3524,605557,436951,40502,81991,25681,19277,2297,345089,103225,232937,423264,139203,275564,290297,93443,196854,422612,130047,286312
2,2,769221,486775,54315,188670,23108,18717,1746,619356,405585,39777,143006,17234,14504,1142,354039,154816,192332,411700,180593,225707,302169,121192,180973,413134,166349,241011
3,3,769221,500368,89389,135375,30817,15704,1358,624295,422810,66407,99159,24257,12159,994,331360,139136,185885,393522,166674,222024,284581,103353,177821,400758,155705,239803
4,4,769221,400933,67385,262951,28670,16913,2425,590934,326940,46192,187108,21169,12759,1609,333211,146202,180785,400821,184068,210863,273843,108221,165287,398747,173074,220114
5,5,769221,497450,92795,107690,59075,14862,2346,606741,409497,65881,77684,42703,11078,1659,349884,131968,210584,427864,176973,244305,3027,181,2324,439074,169106,262791
6,6,769221,548571,88354,99968,16943,16642,1396,634516,474364,62028,71174,13068,13076,1020,350988,130987,213132,427616,161022,262093,298385,21,224682,442572,152600,285318
7,7,769221,472857,159630,90635,39599,16007,1707,616306,398072,116922,64914,29100,12048,1210,357166,160612,188548,433846,202046,226041,304356,126079,177965,428617,184389,237638
8,8,769221,550406,89241,87279,26948,16487,1912,633719,474699,63693,61355,20137,12774,1350,385545,150157,226545,460866,186757,267849,342208,120080,222128,463982,177212,280407
9,9,769221,231009,398290,106793,40772,14646,2513,593636,191983,297032,77314,30863,11244,1854,264531,155462,103547,341443,198369,138987,202372,108543,93829,333373,170044,158369
10,10,769221,272949,229989,217311,46845,13625,2304,610303,235180,174711,158531,37190,10652,1743,282066,180068,95630,336334,219026,112458,199910,117955,78844,302699,182937,114482
11,11,769221,456769,148527,109029,38409,14185,1656,618709,391486,105760,78945,28509,10928,1177,336939,139415,191620,427100,188273,234642,326584,115638,205980,458409,189140,263392
12,12,769221,578906,104305,49184,21492,17554,1484,626932,490923,73465,33192,15710,13365,974,344364,121676,213972,429192,150537,273543,322445,95402,226602,444744,143215,296459
13,13,769221,569083,85330,65273,34687,14862,1718,650487,502137,62165,46089,26682,11749,1224,381934,172242,200604,452147,207958,238386,341863,153876,181487,420068,182362,231968
14,14,769221,356844,208836,162110,40939,12861,1650,620281,306560,161068,118641,31047,10096,1145,324210,189041,128021,393872,231602,156415,263161,149732,113429,359251,190432,163008
15,15,769221,392970,193574,130484,48862,16345,1771,599800,329426,136420,92389,36096,12350,1230,300258,139734,153576,368731,176008,187576,248045,102828,145217,357804,155660,195534
16,16,769221,460213,166150,106142,30034,15045,1578,607353,391827,113409,72738,21880,11255,1112,324485,138484,179031,410103,184318,220727,305694,115575,189761,426337,177608,243281
17,17,769221,581035,105922,51707,17146,12547,1005,654821,517830,75570,36414,13046,9842,711,369425,149975,212372,450951,187437,259241,348143,123760,222185,468654,175936,287668
18,18,769221,425396,207594,112730,16114,17122,1370,603562,360926,142922,79749,12080,12835,985,282192,105885,170389,350692,133382,213267,225358,142,167376,357188,124298,229002
19,19,769221,536453,146650,57118,18828,10884,1031,650465,481820,105527,39481,14409,8269,761,354437,127767,221306,433455,169562,260650,313517,100166,213088,430375,150318,275293
20,20,769221,158637,181082,407543,25320,9240,1525,595408,140153,136811,298383,20078,7063,1234,277217,215481,58511,333523,252578,78285,188364,136213,52151,300589,207879,89175
21,21,769221,491801,134691,109268,23461,13057,1389,629736,428764,95351,78571,17612,9782,1026,363744,163134,195243,443581,199036,240822,328505,119891,208614,457836,188590,264118
22,22,769220,389651,209738,137952,27606,13091,1253,625981,346268,154325,99406,20956,9491,961,325034,191138,129516,393853,229969,160733,272236,150024,122211,377695,197055,176083
23,23,769221,424407,168630,113634,36743,8610,1300,632647,369529,129741,83294,28005,6722,951,339501,191578,143332,413517,232423,177920,279018,143937,130665,388824,195655,188273
24,24,769221,135526,288794,338202,16639,7147,948,611792,111522,235273,258005,13572,5601,792,273067,214955,54754,330354,244809,83100,185608,133201,52407,296849,191109,102192
25,25,769221,250270,331599,142336,48563,9998,1404,607264,208608,256630,106416,36550,7642,1079,311015,192401,114152,385295,229393,152810,234353,129115,105238,353908,183992,165194
26,26,769221,149228,561193,56007,12322,7040,639,623498,122723,456512,43160,9479,5428,468,240251,105569,131184,315213,128372,184655,202379,58750,143509,316315,101603,211879
27,27,769221,132078,566370,55568,20431,6802,720,636002,107346,471763,44946,16646,5443,583,289026,150929,133889,359796,177908,179182,237033,101059,135974,339254,142906,192461
28,28,769221,116007,559429,86320,17323,9073,782,609131,92771,446828,62852,13602,6988,582,263747,134300,125258,342218,158749,180886,211354,76577,134436,335798,123817,208901
