ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,765137,440636,59328,230783,23547,15972,2682,589266,355947,39938,166025,17615,11791,1718,284485,116585,163321,338540,144348,189659,264098,107885,156213,363903,152157,209766
2,2,765137,305611,45499,393195,15236,12189,1946,587555,251047,30074,289612,11125,9075,1286,280872,150513,127414,317651,173868,140913,241622,132701,108921,316657,169767,145620
3,3,765136,492494,48285,188947,21220,16477,1082,586319,391849,31274,136708,14933,12255,694,329845,105815,218414,385087,132203,248167,310542,97102,213440,418466,145846,270151
4,4,765135,197536,88947,423763,53781,13509,1106,589470,166544,59670,321379,39718,10031,793,313183,237281,70845,356387,279069,73410,275883,216099,59784,353375,273996,76083
5,5,765137,273819,56496,392822,39932,10732,1096,621515,235652,41432,308271,33476,8361,866,325699,260696,59201,370083,305942,59744,295479,243739,51740,375826,309055,63016
6,6,765136,487400,78299,78871,105113,14224,1073,574797,382971,52353,56969,70556,10188,731,351632,129429,213421,416668,174316,235820,332171,125582,206589,436346,179874,251308
7,7,765137,225905,181851,239717,118444,16584,1355,566934,185838,120604,169071,89868,11762,909,275727,160446,109426,326190,203134,118938,234142,142987,91155,327199,199461,123465
8,8,765136,443123,54850,241628,16478,12877,1268,585857,354572,35732,175967,11877,9554,841,287451,96999,187009,330378,117855,209131,260379,81846,178533,345695,119189,225077
9,9,765137,495078,117758,87130,51420,18937,1007,592520,404611,76361,61747,38220,13976,649,308493,84961,217499,370911,112811,253334,294321,81394,212927,406707,121403,282423
10,10,765135,486487,58645,184137,22625,15352,1122,588874,389823,38336,133097,16567,11556,731,319970,113388,201038,377811,142239,230726,307492,109327,198165,420449,160481,257353
11,11,765137,469264,99794,143404,36270,18608,1080,595201,380895,66802,106811,26907,13697,783,324288,123174,192989,383028,159077,217643,304096,113719,190377,412001,169450,238967
12,12,765136,398843,43065,294961,20401,13325,2033,588119,321394,28628,215958,15023,9842,1312,295121,124970,166138,340904,151132,185716,264944,107070,157874,348841,148916,198212
13,13,765137,125106,93554,520094,28728,13404,1126,574789,108160,60467,383663,22023,9829,768,297862,232677,61149,343834,273969,66453,264498,216263,48235,351493,282250,66904
14,14,765135,520854,97086,118694,12449,21851,1044,579058,413030,61247,82708,8676,15968,647,282886,81374,196352,341010,104544,232183,258305,88156,170149,373108,116172,254772
