ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,753677,271776,69410,390300,19761,11292,736,589021,217813,46406,306380,15438,8185,528,336031,234119,85107,369706,260608,103962,237228,158853,78337,329810,213695,109427,316295,208020,108225
2,2,753677,251234,115115,374697,10218,14600,840,580993,210713,77611,280964,7783,10704,615,304273,207370,83285,334633,231875,98019,209563,140664,68899,299486,196546,97680,290347,196057,94148
3,3,753677,294530,356863,49086,55607,27342,1369,588880,251848,257871,35538,43017,20324,1026,258170,175294,70541,297753,207606,84237,177762,121828,55896,268964,171937,88946,259991,174786,84937
4,4,753677,176438,500949,43251,34697,36994,907,563323,147658,356197,32793,26345,27272,660,212673,150452,51994,242648,175347,62773,133032,91181,37274,213559,134061,74126,206477,139463,56386
5,5,753677,537619,88320,26813,94572,9935,956,618186,453104,65900,20617,72694,7407,730,355241,227585,112661,402055,277279,117413,274379,191061,79010,377272,253925,115297,363771,250780,112981
6,6,753677,543039,102698,47441,52603,11028,733,593478,442873,70055,34837,38785,7954,548,348484,179368,152323,396781,216291,173135,276443,150370,126023,375294,190515,170076,362996,196546,165842
7,7,753677,222189,118529,340341,73832,12023,1009,607675,198783,84153,261207,62079,8953,752,294046,242294,38173,321152,274990,41089,168104,167494,467,279610,227681,46425,267300,222469,44611
8,8,753677,410205,179147,41348,117924,17357,1050,586513,342671,121507,27923,88874,12304,759,283301,153410,117102,333617,189421,138008,206996,117731,89232,311069,162605,141292,303017,172834,130183
9,9,753677,446387,98038,76904,125905,12479,1154,607511,374121,70826,58940,97378,9307,877,335078,224211,98100,380325,265636,108344,250582,179710,70825,351559,234667,107823,338879,231925,106954
10,10,753677,436320,180649,58457,70016,17967,1379,575610,354504,122070,41054,50164,12712,979,313534,175900,124823,355626,220431,128452,242395,152685,89710,333562,199021,126349,328550,196506,131140
11,11,753677,474649,142376,54717,72264,14862,912,574787,382643,94482,37948,51448,10326,612,329510,170742,143082,380397,215293,157092,264304,149138,115158,365895,198881,157533,360104,199736,159709
12,12,753677,654662,21152,46547,11612,16196,1069,589350,518915,13972,32744,8335,12005,680,343373,106527,223154,383343,106247,270231,291387,72909,218436,374175,102485,264356,367338,94821,272517
13,13,753677,486087,37204,175650,38751,16186,1166,595719,403862,25560,120909,32027,12223,768,328627,175774,137489,358871,195381,155133,251146,141851,109114,336281,180960,146195,330192,190220,139249
14,14,753677,443276,172070,83511,46311,17724,804,564317,353681,113236,57426,31975,12358,543,301845,158001,128566,349032,191041,151038,236732,128197,108504,338702,173956,156555,333353,183333,149538
15,15,753677,676214,21163,29684,8898,14224,928,592293,538096,14321,20045,6073,10541,594,350599,106549,227061,395364,117022,270205,298622,86209,212412,382709,111340,262935,316961,1213,307704
16,16,753677,639296,49584,25596,21798,14715,764,582046,507844,30726,15473,14673,10444,506,352360,126164,208285,400455,152607,238749,297138,100191,196941,392642,147464,235918,318559,1748,309540
17,17,753676,508830,84143,127870,20719,16061,1066,589767,424419,55419,83583,15101,11919,772,299089,152768,131608,331680,174840,149011,234128,121289,112544,319035,163124,148146,312487,168712,143725
