ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,781103,542205,145763,66014,23437,14638,1472,625152,457747,98662,45708,17184,10946,1072,332480,184468,139805,394516,235201,150047,381359,211784,160045,358058,223325,0
2,2,781101,552952,86964,58670,65529,11513,1086,626463,462756,60158,40727,48770,8623,755,338937,197438,132437,397528,254519,132540,384958,231966,141308,366328,251441,0
3,3,781102,473766,170217,54868,71810,11614,1392,611501,393019,119115,38672,52040,8601,1049,315240,179093,128143,374196,233535,131371,358902,208626,140854,271559,264698,0
4,4,781103,608591,47651,42292,61971,8280,972,615677,496109,31266,28391,43962,5901,699,351285,202095,141256,418353,263665,145116,406811,237730,158054,297725,289347,0
5,5,781101,504362,81745,52735,113440,7738,955,631188,422500,59266,39564,87296,5787,727,349713,238714,103879,401879,298874,94414,374885,265591,97371,291890,286689,0
6,6,781101,598923,84783,39093,45694,8995,914,624046,496648,57360,27150,32796,6595,628,386206,216078,161216,452222,283227,158964,433167,255729,166654,328377,321186,0
7,7,781102,302053,171010,206558,102587,11644,1571,653761,275583,126572,158657,90316,9098,1292,271812,221292,45812,316358,269379,41247,280351,222689,47009,238997,232090,0
8,8,781102,517990,53050,108481,83144,7729,1058,637174,440369,38201,78579,65087,5796,798,354202,213227,133655,416707,277345,130314,393116,242627,139502,376834,265436,110638
9,9,781102,648055,46502,41155,14872,11889,1016,638761,544254,30908,28865,10669,8589,765,390760,202195,180253,459400,266298,183106,460119,249776,200506,446395,251931,193822
