ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,775375,693536,15847,12086,7680,40338,1098,633080,575217,10255,8525,5386,28298,678,400854,159758,230204,465110,182980,274976
2,2,774997,680601,36060,22794,7723,22360,807,606868,541129,23154,16673,5161,15972,480,347770,125672,210837,414576,145232,262161
3,3,775414,543947,82760,105280,29900,17973,1063,597448,442096,52640,70012,20945,12616,678,357127,179361,166394,416867,222082,186676
4,4,774600,581638,66314,82080,25242,19716,967,593972,465772,41861,53347,17493,13886,642,357061,161143,185027,417546,196710,213174
5,5,774544,654497,40121,44448,10674,20861,708,606306,525147,25025,29565,7358,15067,474,338966,127920,200954,405858,150373,248444
6,6,775273,536084,38423,91635,92062,14831,1018,619426,442928,26864,67116,68823,11145,730,393511,241285,143283,456476,286129,164372
7,7,775238,619440,43903,61098,31172,18187,1026,611160,501351,29147,41539,23008,13356,722,386785,190795,185259,447468,221984,217748
8,8,775229,569036,41495,132430,12571,18983,796,606390,462261,26926,91882,9005,14019,494,369139,188208,170523,429210,215709,206999
9,9,774962,681480,29890,25456,15113,17123,576,606770,543625,19068,16550,10076,12316,367,389170,138689,240188,464802,160625,297506
10,10,775218,563998,23457,116066,54707,13855,765,620272,469713,15848,81191,40047,10323,529,361151,178881,173092,429829,209969,214177
11,11,775568,529713,41334,113756,76277,12795,688,624065,442233,27866,84964,56976,9546,508,399072,231368,158160,462264,273913,182216
12,12,775247,356248,25253,363437,20578,12651,730,596111,282914,17013,272419,15570,9492,504,332755,244906,80408,387387,285421,97504
13,13,775666,285433,79565,373556,28229,16785,1013,592734,234410,51978,277723,20592,12435,697,290572,216534,67011,340833,252919,83911
