ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,776971,556131,120450,46020,48048,11424,824,624895,464464,83977,34504,36405,8221,587,342503,175080,161237,429627,212150,211235,318995,141907,177040,428237,193497,228411,408952,187431,221521
2,2,776971,433649,215177,96418,31963,15721,963,611926,363964,152022,71156,23729,11198,688,285420,148714,131769,361503,175557,180969,249032,97774,151178,358613,153906,200847,335633,137273,198360
3,3,776971,432998,108842,36238,193768,7058,986,621744,362345,79497,28217,147038,5144,781,311046,175373,130772,399248,213376,180846,271331,125404,145824,383042,174690,202591,366543,182852,183691
4,4,776971,393800,171562,148651,63605,10312,1092,609622,322474,123665,115479,47653,7764,811,315700,188242,122798,395629,223908,166536,271560,130871,140622,388641,194462,189492,374972,191800,183172
5,5,776971,99311,159791,363560,136686,22110,3629,616662,81185,120717,291168,107725,17359,2961,209428,179664,27649,267618,216236,49325,138987,104396,34407,242000,170189,68170,230954,168425,62529
6,6,776971,188182,183275,41640,366825,12171,1571,635768,159068,144815,33251,300377,9281,1218,177049,126383,46941,241095,155615,82743,133114,85049,47935,216793,114908,97752,202189,125906,76283
7,7,776971,281488,274246,117393,117005,18925,2457,629171,232661,214713,93335,97474,14997,1964,199885,171377,23022,258252,207893,47021,148304,119473,28597,242054,176730,58573,228558,181011,47531
8,8,776972,214213,130271,380048,77283,11220,1648,610827,175685,96355,294524,60783,8635,1283,204023,167579,33325,256069,194739,58982,138550,99294,39060,231273,161004,66689,214956,159281,55675
9,9,776972,252005,88290,359731,84233,9720,1242,600367,184052,67060,292429,63706,7551,985,213750,175146,34738,269606,202885,64239,143633,116755,0,249606,171884,72544,231916,171505,60296
10,10,776971,377605,148997,65916,186384,12615,2383,634394,315170,116969,52839,150367,9839,2082,244189,210680,26497,288430,244557,39879,192347,160582,29058,278835,221338,50961,256526,208447,37415
11,11,776971,399675,142031,69607,171567,12439,1224,612426,331023,100842,50170,132718,8915,944,223047,115992,103209,295501,134686,157195,188099,71801,115992,272725,100628,167092,260685,93586,167099
12,12,776971,506527,87200,53070,126732,6980,2127,682247,451233,74491,44697,107918,5862,1888,297071,249223,40808,343316,291101,47205,246105,200890,44173,339053,273954,58314,323154,260165,62989
13,13,776971,119776,406407,265285,49320,23198,2701,632159,106775,318682,212653,42186,18398,2134,231955,213250,14017,276080,242573,30506,117846,116589,0,239540,188808,46800,217622,181800,35822
14,14,776972,137512,398657,174278,98172,25336,2327,613783,120039,302203,135884,77645,19290,1751,182322,152461,26782,233154,181163,49636,116790,82453,31935,205574,136178,65837,192869,135239,57630
15,15,776971,72152,424926,320816,31800,22905,3058,586079,60645,313714,238005,24429,16879,2289,176047,158712,15184,215989,182449,31682,92390,76406,15882,184825,134887,47813,172325,128285,36184
16,16,776971,307809,224212,193895,62398,14518,1382,603754,251709,162225,150203,45724,10712,1039,266996,193987,68643,326869,233178,90393,207928,133567,74156,318416,208998,107472,297860,211549,85958
17,17,776971,500460,154592,71330,47298,10542,945,585295,384985,107837,54741,35072,7604,696,311507,176451,128720,386991,210405,171551,285425,141728,143547,389334,194291,192142,396399,173920,197835
18,18,776971,488148,141838,104679,30831,16591,1177,605187,399740,98318,75981,23256,12115,823,295641,158691,129016,362489,193315,163049,267058,135247,131656,368898,188025,178451,359800,203869,155893
19,19,776971,623209,51366,49389,33684,16903,1251,635246,521143,36339,34104,27527,12810,864,316196,164418,140929,377927,193520,176058,287593,141490,145998,378136,191299,183659,369812,189940,179872
20,20,776971,562337,49480,95387,53288,15846,1446,624229,471438,33689,65160,39293,11810,1013,317025,180863,125114,386724,225887,151955,291434,160419,130871,377224,213283,159607,366596,221807,144789
21,21,776971,676285,31804,28106,12319,22497,1316,621708,547742,22207,20894,8860,16781,857,295949,132063,154218,364858,156080,201182,285679,116429,169155,365479,149741,213372,356853,143444,213409
22,22,776971,589499,43448,91445,37281,17126,1071,615360,487023,28704,60396,26419,12155,720,307484,164292,132625,372245,195811,168086,268610,132915,135544,362773,187212,173657,356241,186898,169343
23,23,776971,683640,29205,28323,12788,18711,724,617991,554069,19022,18780,8916,13181,526,326628,137110,180839,402001,162337,231464,297041,104114,192694,395168,155752,235863,376278,132922,243356
24,24,776971,677741,33001,34598,10006,17110,1009,618176,548508,21988,23635,7039,12659,692,304263,126317,167866,375413,150953,215446,277256,95028,182057,373421,148070,222852,357926,129299,228627
25,25,776971,521570,73585,138049,40004,12564,1120,619082,437992,49058,95928,30135,9203,761,323572,187514,125311,389741,228228,151739,282364,152039,130193,373487,217144,152238,357633,215528,142105
26,26,776971,503185,55379,160001,50431,15261,905,620037,426385,36777,112591,36441,10756,648,287674,176564,103906,355878,216284,133075,245371,156883,88339,341851,198675,138315,322770,204695,118075
