ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,786630,530476,31733,167166,42775,13366,1352,607689,426780,20146,119428,30316,9794,882,352066,175761,168719,411740,220132,185306,296562,156460,140102,349436,180476,165721,400250,210872,185460,391562,213743,177819
2,2,786629,720074,11754,24510,7408,18636,714,609599,563480,7306,16482,4989,13866,414,311239,90115,214681,378196,100789,272334,257872,65754,192118,316336,84137,229801,378802,97852,278096,364644,96410,268234
3,3,786630,433335,49377,241098,53032,14451,1234,615714,366086,32826,167620,40244,10657,899,332761,224326,101721,381894,271664,104532,258859,182387,76472,311552,215135,94211,358346,249431,105242,343120,242721,100399
4,4,786630,669370,19763,50151,28605,15207,946,600351,521413,12273,33875,19006,10820,583,330359,102638,220291,400745,125725,268715,290088,89359,200729,345072,106591,236143,406953,126892,276504,399148,125887,273261
5,5,786630,659838,57243,44251,10945,15312,1409,612230,526766,36852,28818,7626,11163,889,327472,122121,197199,396653,142101,248386,279789,92635,187154,336214,118184,215660,395871,138185,254061,378458,122987,255460
6,6,786630,673037,25479,62754,6799,16473,731,628719,549311,16196,43669,4670,12079,486,335734,131104,196998,399020,139482,254092,280260,90448,189812,331562,111987,217424,381642,125068,253587,368234,122431,245803
7,7,786630,679580,28953,32708,29624,11929,750,623729,549219,19013,22359,21081,8732,514,357455,157812,191588,429985,192581,232256,303636,135568,168068,364013,160509,200823,418302,185149,229664,400449,144655,204556
8,8,786629,585818,38989,115521,29161,16520,1382,603741,467544,23849,78013,21079,12012,904,338287,122999,208098,400857,153370,241657,278848,98586,180262,335824,123605,209197,391280,147576,240234,378501,140801,237700
9,9,786630,585834,56848,114892,14622,16411,696,613653,476818,36058,77478,10574,12032,461,331280,161598,161111,390205,186081,197468,266145,150646,115499,323156,148151,172078,378390,174724,200125,375376,181132,178874
10,10,786630,556510,29651,156098,26426,17940,1437,616057,452896,19283,110485,19231,13358,956,337758,153360,176690,391734,185655,199444,272964,104638,168326,327291,149217,175259,378167,176359,198060,370748,145425,213692
11,11,786630,320534,61809,373227,28852,12337,1104,622351,277075,42831,275960,22634,9260,790,316156,247082,63442,358409,280544,74107,215580,167636,47944,273859,210174,62263,320521,247372,70858,302335,236842,59367
12,12,786630,693197,15197,42030,16137,16854,775,603837,540698,9576,27168,11099,12257,520,321402,112524,201632,389068,131542,251597,276288,84946,191342,331797,110674,218751,390998,129846,257795,380208,119773,260428
13,13,786630,595133,20952,120927,30649,16450,829,621319,489034,13399,82952,21244,11955,522,341533,173089,160447,406209,205962,194511,284521,149843,134678,341501,168825,170125,395465,196022,195856,386505,197519,188986
14,14,786630,675926,25167,52022,12735,15331,731,629265,552503,15888,35741,9437,11152,499,343514,149219,185851,412858,172804,234502,297042,113662,183380,351629,143641,205209,404841,164400,237006,383887,140460,243427
15,15,786630,575473,48393,107137,39533,17172,1091,599308,459269,30532,68936,27894,12441,753,306600,136076,163694,372807,170733,195927,251153,108046,143107,308729,137542,168536,365189,163951,197568,347576,151292,196284
