ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,767871,674765,37332,24950,9239,19531,1017,616550,552337,23185,16903,6671,15172,685,277288,62302,210212,336345,74137,256562,348338,71642,273125,330209,64034,257834
2,2,767871,630610,41560,55734,18436,20061,1023,609503,513806,26468,38404,13658,15340,677,295094,102151,187019,356252,122697,226786,366789,118780,242963,362070,111305,250748
3,3,767871,597466,44410,88094,15574,22174,1078,607013,485954,28002,63672,11359,17033,692,292060,98590,188049,348155,115367,226465,361360,113479,243146,350351,102836,236552
4,4,767872,582497,61910,84304,20160,19723,1122,587445,461084,38964,57907,13978,14896,716,259998,81225,173863,324528,98034,220500,336883,93024,239833,313259,83837,219136
5,5,767871,531224,79120,102908,40160,15364,1189,582505,418881,51058,73823,27435,11531,782,303342,129464,165595,364786,157650,198868,372745,150048,216736,360231,141997,205240
6,6,767871,596648,59323,79753,12965,19716,1078,603423,483180,38463,56693,9376,15119,757,289654,105594,177834,348142,120085,221543,358723,114088,240187,331878,106222,225375
7,7,767871,533197,57129,138302,22558,18400,2659,597796,429888,37116,99724,16900,13766,1620,266769,112483,146984,328624,135688,185391,335476,128044,202555,322901,123074,191945
8,8,767871,559984,27811,144048,20101,14713,934,597005,447346,17498,105799,13713,11250,676,303776,92420,206184,360131,110267,244692,344241,98538,241830,328147,84622,236638
9,9,767871,193855,70592,478021,19490,11754,908,583233,165820,44963,351812,15300,8954,640,242836,175771,61578,286026,209786,71668,239387,168622,66490,227909,159943,61223
