ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,766987,460088,130082,147139,12068,22129,1147,585265,371950,82669,107096,8526,16548,787,277570,71239,202284,326088,86352,235937,234651,51434,183217,327762,78554,246341,0,0,0
2,2,766987,378509,232511,100382,43253,22317,2432,557917,296409,151304,68462,30513,15876,1645,263056,92828,164735,321071,121726,194821,230287,78496,151791,332296,124591,203572,326883,112252,214631
3,3,766987,429281,124107,84898,111888,21934,1848,559329,332029,80057,56991,76459,15296,1182,294773,114029,173611,363437,152279,204527,271256,100121,164240,397086,153496,232845,380747,142953,237794
4,4,766987,456408,109555,80358,98443,26046,1523,577526,363615,71788,56043,68304,18424,1013,281662,95762,180322,345022,125278,214657,256059,79186,170821,365772,120188,239000,353299,111696,241603
5,5,766987,367502,226402,118843,40568,25137,1258,573597,300372,148251,81400,30519,18654,856,248967,91604,152901,298295,113847,180739,212089,71906,135578,309964,111027,194765,299897,107712,192185
6,6,766987,344553,259476,117497,32487,24714,2291,572594,279352,173016,83603,24448,18081,1468,233544,83092,145985,282193,105413,172918,1044,226,818,296969,104283,188788,286769,98443,188326
7,7,766987,210438,230614,160142,164911,15986,1592,594919,179683,168560,116791,127236,11783,1066,230715,145567,80335,279639,179451,96316,181829,115994,65835,253160,148939,96446,244471,149820,94651
8,8,766987,345586,249527,109718,51665,23942,1625,565897,276028,167949,74409,37361,17324,1019,246771,85085,157095,312460,111748,196684,224968,68715,153127,349138,113192,231430,342177,108754,233423
9,9,766987,95246,301525,293568,81086,17656,1278,565956,78651,206142,218536,63617,12541,895,214582,163300,47615,256721,195474,58370,163603,125443,38160,237488,169152,64547,0,0,0
10,10,766987,429742,191251,83934,49513,19569,1480,591007,351567,129974,61608,36361,14435,1000,282276,106190,169034,340242,135000,198883,252146,86500,159580,357949,131832,220455,347813,118278,221226
