ID,Label,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,784672,555614,42300,115275,56289,15816,1607,610718,446165,27183,86550,38732,11265,1050,404240,178444,218822,461129,210907,241626,486595,227074,250992,478975,208491,269678
2,2,784672,460930,58585,197372,58781,18413,3415,609706,373699,38349,146054,42343,13177,2227,340894,164552,170655,404141,202122,193849,414128,203172,204261,408554,191548,207344
3,3,784672,305016,65272,375303,35513,19540,3673,613711,257534,45253,278424,27101,14548,2531,281613,189302,87694,338599,230248,101373,320985,213132,102213,314545,220044,93825
4,4,784672,330482,77370,343158,26279,16152,1679,629882,284553,52022,265407,21090,12300,1171,333237,219074,109270,394395,264454,123594,383730,250985,125928,375476,252857,121810
5,5,784672,537094,33229,175937,24169,14263,1058,634064,443770,22567,137809,18796,10716,689,375227,164595,205193,435323,195887,231760,444090,191693,246006,435771,184187,249540
6,6,784672,613429,61812,76003,18312,16594,1171,622681,503600,39734,53948,13352,12214,758,336788,125572,205925,398936,151507,239666,410905,152726,251675,404409,140095,255847
7,7,784672,398366,136766,185105,56343,21407,2799,585236,316916,89659,131330,39005,14988,1784,321042,164133,151558,390486,204622,178344,404061,203210,191700,397309,203354,192839
8,8,784672,387772,160598,112674,117170,16093,2004,619604,323268,114046,86661,89901,11991,1449,340947,255556,78042,396010,303882,83638,390212,285004,92725,383915,274593,94676
9,9,784672,675667,23444,52552,17100,14286,862,640412,556950,15730,41051,13826,11118,582,338583,98577,235944,401339,113688,281828,408547,112210,291613,400968,109574,290646
10,10,784672,413890,138727,81397,141672,15544,1850,574013,320464,92067,56802,97201,10787,1188,344606,190206,148155,412830,239474,165175,420534,221133,186201,413034,215137,196359
11,11,784673,382738,110266,79369,205452,11963,1978,605027,310060,77704,57167,153741,8639,1331,367516,247044,112787,427336,296777,121577,419501,273439,130783,410186,273529,134802
