ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,765137,440636,59328,230783,23547,15972,2682,589266,355947,39938,166025,17615,11791,1718,284485,116585,163321,338540,144348,189659,289044,118898,165558,264098,107885,156213,363903,152157,209766,356167,135395,220772
2,2,765137,305611,45499,393195,15236,12189,1946,587555,251047,30074,289612,11125,9075,1286,280872,150513,127414,317651,173868,140913,271674,144933,123816,241622,132701,108921,316657,169767,145620,312817,176028,136789
3,3,765136,492494,48285,188947,21220,16477,1082,586319,391849,31274,136708,14933,12255,694,329845,105815,218414,385087,132203,248167,336218,109944,220603,310542,97102,213440,418466,145846,270151,411715,138799,272916
4,4,765137,150803,147267,387919,80931,15332,1192,582946,126798,99121,294887,62023,11085,846,277162,212089,60377,317434,248553,65339,268299,206746,57132,235833,183026,52807,309227,234107,71829,302948,228970,73978
5,5,765137,237353,75635,403564,47347,12196,1048,613735,206531,52720,313396,38832,9366,827,306361,257005,43845,347624,298153,45247,303337,258294,40118,276054,239062,36992,352020,300220,48212,343973,294632,49341
6,6,765136,227858,94388,409519,32152,12827,1129,593690,194739,63188,307240,25562,9671,779,317075,224991,86624,367502,272522,90694,315813,229730,80845,285653,211342,74311,375844,280228,92564,370698,276768,93930
7,7,765137,487523,78323,71376,112943,14371,1045,579339,386820,52419,51721,76658,10367,730,340275,119111,213163,407587,161754,239986,351381,127667,216094,325418,116348,209070,432225,166107,261295,424826,149286,275540
8,8,765136,443123,54850,241628,16478,12877,1268,585857,354572,35732,175967,11877,9554,841,287451,96999,187009,330378,117855,209131,285588,96221,185805,260379,81846,178533,345695,119189,225077,335726,104400,231326
9,9,765135,466010,123476,105451,58278,18450,1056,582752,375905,79950,73716,42974,13488,690,302757,91335,205399,365652,121435,239400,312252,95559,210695,286905,86524,200381,401625,130883,267731,393113,121581,271532
10,10,765137,478059,58198,193877,22496,15079,1137,590322,385356,38081,139872,16437,11395,724,319848,116456,197954,376507,145845,225968,328007,121901,200602,304810,112011,192799,413992,162653,248788,406212,150715,255497
11,11,765135,510228,92947,103505,39460,18779,1026,589100,408681,61477,75588,27956,13911,728,331998,114355,209251,390391,149122,234735,338804,120341,210435,311633,108217,203416,420715,159375,257408,401672,131758,269914
12,12,765136,398843,43065,294961,20401,13325,2033,588119,321394,28628,215958,15023,9842,1312,295121,124970,166138,340904,151132,185716,292789,123722,165156,264944,107070,157874,348841,148916,198212,340910,135296,205614
13,13,765136,188099,110825,407986,59021,14673,1321,572137,159219,72417,294376,44296,10588,896,306928,204672,97297,356715,248790,104145,301020,207533,88697,267199,191071,76128,364772,257798,103643,358197,256827,101370
14,14,765136,535516,91371,105435,16134,21494,1055,579137,423475,57899,72920,11273,15497,657,297336,83412,208010,356510,108927,242737,303266,87636,209879,272882,89665,183217,386084,120771,262821,378128,134529,243599
