ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,776971,561390,115800,45929,47493,10979,810,624997,468355,80878,34173,35988,7943,577,341904,172019,163831,429345,207865,215368,344330,157172,184198,319346,138600,180699,429463,190070,233206,409825,183540,226285
2,2,776971,438240,212259,94649,31989,15341,954,611855,367149,149958,69976,23737,10919,675,289272,149421,134910,366587,176294,185232,283325,127121,154010,252746,98241,154418,362137,153928,204363,338968,136371,202597
3,3,776971,423148,116410,38098,194297,7883,1009,621713,355269,84660,29728,147447,5701,804,307793,177727,125037,394446,216924,172450,301626,156423,142863,267266,128244,138925,378292,178095,194280,362335,187645,174690
4,4,776971,393800,171562,148651,63605,10312,1092,609622,322474,123665,115479,47653,7764,811,315700,188242,122798,395629,223908,166536,306423,163741,140383,271560,130871,140622,388641,194462,189492,374972,191800,183172
5,5,776971,99311,159791,363560,136686,22110,3629,616662,81185,120717,291168,107725,17359,2961,209428,179664,27649,267618,216236,49325,183692,147480,35260,138987,104396,34407,242000,170189,68170,230954,168425,62529
6,6,776972,181840,193052,44171,361581,13209,1564,632721,153492,150072,35453,296148,9986,1211,171000,121523,46004,233531,149650,81285,158889,100809,56584,128057,80974,46895,209347,109480,96065,194764,120205,74559
7,7,776972,283418,279031,114242,113403,19088,2479,622470,229017,218073,89954,94578,15059,1986,193845,165203,23351,251314,199615,48431,177126,143755,31386,142500,112755,29479,235013,168187,60343,221230,172795,48435
8,8,776971,212838,125497,382856,80630,11103,1631,617339,179732,92987,297616,63362,8609,1266,211408,174959,33093,263927,203839,57668,187091,145306,40443,144967,106557,38236,239380,170473,65030,223312,168416,54896
9,9,776971,250805,88516,361627,83509,9730,1245,601315,183860,67283,294000,63166,7574,986,214886,176520,34459,270786,204641,63636,197182,150190,45413,144432,117722,97,250409,173356,71858,232858,172827,60031
10,10,776972,378250,148760,64363,187363,12559,2375,633635,314959,116754,51557,151224,9780,2076,241708,208100,26679,286330,241979,40386,226244,191307,32223,190935,159070,28903,276966,218940,51536,254556,206206,37555
11,11,776971,399675,142031,69607,171567,12439,1224,612426,331023,100842,50170,132718,8915,944,223047,115992,103209,295501,134686,157195,214990,93479,119656,188099,71801,115992,272725,100628,167092,260685,93586,167099
12,12,776971,506527,87200,53070,126732,6980,2127,682247,451233,74491,44697,107918,5862,1888,297071,249223,40808,343316,291101,47205,279806,232409,43926,246105,200890,44173,339053,273954,58314,323154,260165,62989
13,13,776971,119776,406407,265285,49320,23198,2701,632159,106775,318682,212653,42186,18398,2134,231955,213250,14017,276080,242573,30506,192607,173143,17504,117846,116589,0,239540,188808,46800,217622,181800,35822
14,14,776970,142925,406921,157196,103327,25333,2429,611762,124593,308929,119221,81730,19229,1812,179725,149129,27331,231260,178044,50778,155587,120214,33986,113888,79355,32358,203123,131879,67385,191792,132714,59078
15,15,776971,72234,407458,333282,33044,22018,3025,588371,60740,300901,249394,25523,16278,2280,177566,160347,15096,217715,184551,31315,145493,125667,18843,94375,78446,15827,186840,137445,47283,174611,130392,36010
16,16,776972,308656,223639,195980,61243,14370,1320,606530,252636,163055,153275,44774,10669,994,274123,200544,69119,334601,240160,91076,257853,179091,76745,213902,138700,74828,326298,216167,108141,304076,217668,86408
17,17,776971,500513,154546,71329,47291,10542,944,585311,385031,107811,54740,35071,7603,696,311493,176452,128703,386978,210411,171524,308365,163266,142209,285421,141735,143536,389343,194302,192139,396429,173902,197845
18,18,776971,490342,140558,103260,31136,16548,1179,605234,402171,97092,74428,23485,12073,830,298230,161043,129231,365344,196159,163016,293011,153025,136661,269081,136822,132102,371418,190676,178299,362241,207110,155131
19,19,776971,620742,52718,50801,33974,16775,1202,635737,519418,37391,35701,27490,12710,831,321504,166503,143964,383691,196142,179031,317139,158582,154148,295520,145496,149914,384903,194143,187277,376931,192643,184288
20,20,776971,555447,55304,96916,53687,15806,1479,624146,466920,37411,66117,39619,11686,1039,316115,180693,124507,384479,224569,151118,312093,175570,131600,289484,159674,129663,373934,211181,158272,363148,221997,141151
21,21,776971,680797,27119,29447,10755,22423,1304,621217,549509,19457,22232,7750,16848,837,286420,123952,153212,355972,146455,202220,289895,116445,169680,276061,107561,168417,357087,140758,214512,348436,131929,216507
22,22,776971,588441,43315,91789,37739,17295,1105,616358,487243,28761,60381,26933,12261,757,308119,169687,127528,371891,202853,160633,296572,156962,135353,267001,137036,129806,362520,194091,166358,356389,194450,161939
23,23,776971,685424,28159,26871,12668,19004,781,617356,554582,18313,17829,8866,13409,543,325376,134344,182286,401370,160041,232953,323026,124893,194281,297254,103724,193299,395116,154428,237461,376205,128635,247570
24,24,776971,681306,32163,31199,9439,18166,960,619123,551907,21392,21211,6628,13461,653,306281,122846,173494,378193,146392,222924,305358,113344,187799,280956,93385,187414,375708,143275,230018,359256,123350,235906
