ID,Label,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,760065,462197,198815,20639,40391,46137,5841,605483,390785,138760,15539,29667,33831,4253,316144,176887,131811,369547,212964,147017,303757,167660,133836,341644,186164,144424
2,2,760065,533599,112645,18778,46719,48674,4678,613701,447722,80105,15177,34026,35923,3432,357010,220940,128430,417404,263170,144491,350901,215895,132487,389315,236524,140558
3,3,760067,435208,141407,54225,105091,27167,9177,600433,366223,98814,40084,75189,20435,6573,323310,172191,143603,390775,217623,163088,325804,174063,149063,366634,195637,158302
4,4,760065,384742,236841,28171,89643,32572,6332,591002,322739,162279,18842,68630,23831,4451,296680,172883,117615,361299,214496,138292,298303,169544,126618,343934,191758,141847
5,5,760066,424499,219949,24651,62902,38702,6805,599254,356309,152803,19657,45967,28642,5216,314802,127196,182234,383759,159852,215543,315296,122099,191517,362461,139201,214114
6,6,760067,386058,169635,70555,115196,28618,11389,576315,314273,114231,48424,82961,21275,8149,280074,149823,123928,357325,196529,151560,289864,153642,133973,336344,176808,148595
7,7,760065,305712,176798,82234,177508,26591,15425,586863,257777,121573,59436,131923,19874,11377,302520,173292,123462,375056,220144,146476,303505,168775,132585,346907,190078,145585
8,8,760066,233055,238586,120878,160486,27671,12190,600387,201307,168167,93803,127210,21203,8712,276068,192189,78798,343801,241492,94851,268634,182637,84012,312348,204494,98040
9,9,760065,194161,288030,104430,169287,28985,12567,567270,164929,195496,74526,125001,21038,9017,225806,137572,84253,295299,183175,105771,223219,128681,92837,268485,145369,114692
10,10,760066,374313,151209,42013,182863,18956,7408,588180,310852,105421,29579,132198,14010,5218,336412,220995,108548,413477,282092,122486,334653,219240,112458,377829,246078,119171
