ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,769221,533911,59438,116673,35309,25419,3524,605557,436951,40502,81991,25681,19277,2297,367242,103970,243249,345089,103225,232937,423264,139203,275564,422612,130047,286312
2,2,769221,486775,54315,188670,23108,18717,1746,619356,405585,39777,143006,17234,14504,1142,381032,159976,204914,354039,154816,192332,411700,180593,225707,413134,166349,241011
3,3,769221,500368,89389,135375,30817,15704,1358,624295,422810,66407,99159,24257,12159,994,348275,141371,192669,331360,139136,185885,393522,166674,222024,400758,155705,239803
4,4,769221,400933,67385,262951,28670,16913,2425,590934,326940,46192,187108,21169,12759,1609,347759,149004,185561,333211,146202,180785,400821,184068,210863,398747,173074,220114
5,5,769221,497450,92795,107690,59075,14862,2346,606741,409497,65881,77684,42703,11078,1659,358884,131386,209914,349884,131968,210584,427864,176973,244305,439074,169106,262791
6,6,769221,548571,88354,99968,16943,16642,1396,634516,474364,62028,71174,13068,13076,1020,365067,133086,218572,350988,130987,213132,427616,161022,262093,442572,152600,285318
7,7,769221,472857,159630,90635,39599,16007,1707,616306,398072,116922,64914,29100,12048,1210,374512,163729,192372,357166,160612,188548,433846,202046,226041,428617,184389,237638
8,8,769220,503429,121318,94859,37639,16910,2165,627948,430100,89424,68316,28576,13039,1577,383313,156158,206745,365714,154669,201820,434539,190788,237424,432353,177979,247784
9,9,769221,349169,301573,90743,28530,14662,1835,606265,298048,220605,64670,21337,11181,1278,305876,144139,150585,293461,134943,153044,373055,171889,197172,375543,152205,218724
10,10,769221,251279,244082,232426,40282,13913,2297,605765,217040,184224,168631,31986,10879,1717,299763,193520,91818,280370,181296,92984,335396,220525,110247,299915,183316,111659
11,11,769221,447500,168639,91751,44077,13648,1936,622027,384561,123284,66937,32919,10602,1408,337842,142011,183528,336387,141755,188683,423819,189517,230117,450673,187138,257579
12,12,769221,429649,203894,92266,38977,15264,1609,611856,360307,151776,65458,28518,11613,1118,337176,153722,168020,321516,148216,165816,398692,185004,208306,384441,159992,218925
13,13,769221,567259,91148,59474,36497,15175,1646,643737,494870,66182,41381,28007,11992,1154,389140,166993,202454,367038,163048,194847,438499,199274,233340,409293,174633,228934
14,14,769221,396612,218043,114827,37890,16278,1896,595835,328718,155046,79813,27812,12361,1345,324372,145385,162884,314256,143520,163689,395901,189458,200699,389451,171478,212233
15,15,769221,463357,128095,130612,39170,15842,1680,619782,396132,92649,93253,29211,11997,1120,334307,143745,176208,319530,141103,170736,394126,173755,215554,400234,157393,236555
16,16,769221,511146,119152,104272,22520,13295,1299,635485,449118,82021,76140,17148,10299,915,362284,163344,183465,352529,162055,183154,427170,199416,222824,433163,184339,243417
17,17,769221,570932,102054,64658,17911,12830,1014,655953,512425,72168,45497,13689,9976,726,374268,152684,207803,363996,150878,206287,443876,189104,250655,453507,174415,274186
18,18,769221,399988,213188,131391,20396,17107,1559,599646,337325,149406,91785,15301,12869,1149,303199,131343,159066,288798,125538,156995,365753,162062,199004,372105,152345,215216
19,19,769221,526231,168259,47721,17910,10458,1005,645329,468522,122093,32734,13636,8023,729,361337,132367,217409,349618,124824,219396,427434,165037,259154,424197,145965,273568
20,20,769221,205964,182345,349565,28290,8786,1511,613033,184626,142604,257938,22585,6963,1191,318861,237566,73584,298781,224994,70192,359683,265212,91710,325400,221083,100489
21,21,769221,486490,134189,115167,23754,12877,1401,627454,423674,94549,82252,17796,9654,1042,374757,162763,199110,362802,163711,193731,441689,199523,238441,451872,186840,259933
22,22,769221,350497,254822,113224,40342,10507,1290,595366,291480,184519,80805,29309,7735,948,324737,168161,146477,310603,159139,146983,388260,198114,186929,388170,171280,211914
23,23,769221,326237,219030,199453,23725,14114,1330,620743,295326,160750,143614,18423,10165,1046,311337,198452,104281,298464,190386,104012,360417,226632,130749,339960,191314,144504
24,24,769221,83808,309212,380203,16125,8601,1084,605907,70260,247952,289130,12951,6725,894,283529,237143,40004,261333,215283,42896,316184,246096,67594,278540,191452,83867
25,25,769221,440052,220469,62078,26106,7982,1085,648772,382680,179993,48108,20789,6342,814,346258,188436,148040,327011,175306,147140,400621,209005,188734,379038,169978,204494
26,26,769221,101954,560623,85412,31589,6097,808,615491,77152,457140,65611,23908,4673,606,290150,169889,112089,268008,143498,120900,345108,169398,173413,327045,131900,191796
27,27,769221,131486,566995,55487,20496,6829,717,636033,106773,472417,44889,16686,5465,581,307874,175715,121689,288359,150812,133328,358962,177712,178550,338423,142685,191851
28,28,769221,116599,558804,86401,17258,9046,785,609100,93344,446174,62909,13562,6966,584,284266,158917,115376,264414,134417,125819,343052,158945,181518,336629,124038,209511
