ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,745671,426065,42659,251298,11397,17872,1423,596783,356476,27614,192997,7888,13381,1003,398155,186555,204892,413926,190436,218891,384756,178592,200031,285092,123352,161740,390793,179435,204625,416845,182065,230368,391808,124929,230999
2,2,745670,400547,96435,188408,52943,14818,1220,584067,332722,64157,140209,40031,10815,824,390782,254289,126698,411630,274360,129367,379377,250417,119751,284790,193408,91382,388449,262580,115786,413074,271772,132620,406172,268728,128809
3,3,745670,396511,92928,228142,17748,18697,2600,576660,323933,60800,169543,12771,13433,1813,326076,148641,170908,340722,153774,182097,312498,141784,164878,214649,92023,122626,318982,144189,168468,346080,147604,194722,304321,60930,196840
4,4,745671,395824,85915,162837,91532,14955,1034,574606,320577,56330,124857,64835,10683,736,396893,281375,106823,420149,303334,109939,389938,279889,101880,311794,229648,82146,408101,298053,101296,436896,312412,115447,428554,307816,112092
5,5,745671,507354,59024,146858,20317,16024,925,596194,421313,38431,111648,14529,12141,654,384842,163417,212810,400898,167125,228735,371211,157373,206307,272974,109116,162483,379550,162786,208692,408268,165404,237629,400680,162322,238210
6,6,745671,466399,80826,153914,31495,18475,1005,578293,382738,51069,111667,21727,13484,634,361402,148273,204594,381619,157036,218933,349025,144209,197478,248729,97626,150258,361139,154319,198186,391691,159349,226292,337473,349,233313
7,7,745671,478702,61609,160874,15766,34276,2172,593673,400999,39354,119140,11043,24895,1379,389123,170926,209262,415809,182076,227833,381063,168135,204989,290163,122538,167625,404164,181984,212842,443202,188294,249694,432311,178774,253499
8,8,745671,453271,69986,137312,31786,57697,1013,563332,358376,44048,99678,21043,41818,685,372257,148845,215214,397224,160781,231187,362683,146641,208941,266706,105050,161656,378097,156828,213098,409708,162358,241622,399748,161360,238361
9,9,745671,437637,94277,177432,20803,25877,2651,577673,359252,60786,129182,14884,18440,1736,350917,149080,194283,372135,157604,209219,340622,145326,188566,248747,99451,148835,353158,153606,192054,382677,158552,219095,372918,140782,209979
10,10,745670,493055,84946,130655,24131,17568,1131,581822,404468,53640,96473,16563,12711,767,376098,154379,212684,397624,164108,227817,364952,150582,206578,269003,103404,165270,380734,162025,210056,416353,168702,242192,406522,155283,233705
11,11,745670,613832,57087,33066,10934,29250,1914,609924,516985,37835,23682,7822,21489,1302,410882,178627,222117,433723,189678,237270,403742,177300,217257,321846,142042,174476,415206,190379,215671,441237,196314,238078,432558,187005,245553
12,12,745670,267498,131029,295073,48891,15630,1213,580319,229032,87967,222293,36903,11502,852,334024,240913,84314,354216,262589,85342,319678,232962,78997,212026,157128,54898,329381,243166,77733,355661,254946,91834,350988,259785,91203
13,13,745670,470899,97421,149850,13969,19679,1678,562248,372444,60116,109385,9134,13717,978,361944,147596,205976,389550,158090,225136,355893,146551,201616,272560,113114,159372,384610,164843,210447,425637,174774,244879,414962,171776,243129
14,14,745671,504554,64454,128834,33737,17461,978,579505,410318,42164,92298,23232,12850,648,370642,150130,212150,395579,163301,227009,360235,148266,204810,261862,107197,154357,376337,163284,204811,409053,171063,232469,401471,168357,233114
