ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,786630,547539,29652,157029,37437,13748,1161,606393,438128,18777,111484,26521,10111,754,344730,160422,176878,405878,200126,199450,289940,139936,150004,344236,163485,177504,397244,191603,201912
2,2,786629,718703,11994,25109,8536,18488,709,616067,567707,7760,17464,6062,13906,449,315752,102042,206929,378358,111600,261545,260120,73865,186255,316401,93195,220819,376022,107317,265831
3,3,786630,433335,49377,241098,53032,14451,1234,615714,366086,32826,167620,40244,10657,899,332761,224326,101721,381894,271664,104532,258859,182387,76472,311552,215135,94211,358346,249431,105242
4,4,786630,675247,21547,55694,14579,15945,1599,601807,528111,13238,36465,9650,11368,935,327315,96733,223149,393787,114210,273297,281284,77547,203737,335895,94916,238683,396335,111941,280927
5,5,786630,648723,58729,52474,11887,16019,834,617589,523448,37924,35061,8374,11775,586,321010,129313,183258,388919,150175,232535,272237,102590,169647,328584,124620,201470,387528,145964,238010
6,6,786630,675162,25658,61524,6156,16010,721,619332,542227,16201,42319,4207,11628,478,320361,122316,190520,382138,131306,245482,265708,85799,179909,316544,105334,209134,365518,118027,244557
7,7,786630,678794,28927,32769,29809,12405,785,627367,552216,19008,22404,21247,9068,540,363000,159715,195023,436786,194811,236653,308371,137068,171303,370025,162481,204789,426048,187691,234785
8,8,786630,577386,37566,119943,34920,15616,1515,606853,463289,23195,82341,25199,11343,987,352519,138516,206504,414210,173573,234543,292541,115607,176934,348688,141314,204297,402587,167929,230834
9,9,786630,591847,54865,111971,13949,16087,720,611413,478591,34739,75784,10059,11721,466,333769,156655,168773,392775,179884,206332,269306,142356,126950,325840,143272,179752,381139,168624,208947
10,10,786629,559662,31642,150861,26646,17993,1404,614280,453879,20414,106565,19322,13383,950,335507,148793,179124,391473,181210,203762,271968,102639,169329,327116,146078,178221,379147,172975,202500
11,11,786630,320534,61809,373227,28852,12337,1104,622351,277075,42831,275960,22634,9260,790,316156,247082,63442,358409,280544,74107,215580,167636,47944,273859,210174,62263,320521,247372,70858
12,12,786630,678141,16351,43073,29484,16100,819,596931,525104,10058,27313,19719,11564,529,330689,114388,209264,405493,141032,258365,291793,92482,199311,348579,119199,226867,410144,141594,265024
13,13,786630,588657,21489,124949,32818,16440,863,624573,486586,13986,86307,23137,12013,547,337855,176277,153613,400322,209165,185484,280468,151481,128987,336796,171929,162330,390355,199819,186970
14,14,786630,681902,24928,48068,10974,15144,683,627650,555927,15542,32679,7811,11000,469,351303,149371,193541,422570,172571,244475,305466,113396,192070,360230,142808,214658,413435,162913,247101
15,15,786630,578503,46774,106703,38224,17606,1030,599242,460518,29529,69218,26938,12781,693,300889,133875,160423,367368,167294,194272,245966,105825,140141,303626,134908,166203,360648,160499,196618
