ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,767871,674765,37332,24950,9239,19531,1017,616550,552337,23185,16903,6671,15172,685,277288,62302,210212,336345,74137,256562,348338,71642,273125
2,2,767871,630609,41552,55736,18435,20070,1023,609512,513810,26464,38406,13658,15347,677,295090,102150,187017,356247,122696,226782,366777,118776,242955
3,3,767871,595695,45941,88022,15686,22484,1073,606482,484588,28990,63327,11428,17246,676,293167,98961,188765,349413,116138,226942,363211,114326,244099
4,4,767871,492688,100984,127933,31036,18886,1248,586518,395002,65271,91453,21913,14413,839,253710,107089,139838,307714,126568,173814,304636,113664,186548
5,5,767871,470378,43125,224855,14541,15695,1596,586652,373255,27649,163517,10221,11784,1034,268154,117159,144965,322522,138194,178897,314025,118678,191152
6,6,767871,590253,50988,89498,19138,18092,1002,614497,485740,33671,65220,14919,14132,722,290775,117131,166615,352804,137136,208115,362098,130633,226645
7,7,767871,556416,53522,119509,20919,18449,2094,593732,444772,34363,85320,14800,13844,1270,284294,115202,162197,349798,139424,202866,361613,137698,218702
8,8,767871,460793,53788,214948,25245,14170,1024,590123,370795,33646,156789,18249,10716,724,296029,118574,172000,349577,144866,199444,321368,126046,190779
9,9,767872,428649,51955,250663,24444,14059,931,580407,337997,32478,183802,16531,10407,618,272310,121432,145709,328569,144552,179053,321876,124802,192860
